#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           6034.388815280892     All      0.3161129941873883        0.002907444082111965      0.07877198738945601       -0.09850611981528368       
Zeropoint     AB|MEGACAMPSF|g           3354.9902918477765    All      -0.7025553296583389       0.12839123867696145       -0.4635822318446753       0.24997908878585662        
Zeropoint     AB|MEGACAMPSF|r           4281.780426973707     All      -0.802625526695446        0.5765221976240298        0.39179674898227324       0.4667178758729795         
Zeropoint     AB|MEGACAMPSF|i           5234.4593588336365    All      2.1712797260463774        0.29206390257083825       -0.024959380674305365     -0.6132362405954134        
Check         All|All|All               All                   All      0.982211863879981         0.9998847829539415        -0.017972876147251404     0.004954604248139094       
Lambda        AB|MEGACAMPSF|z           6034.388815280892     All      -9.340194033441829e-05    -3.869656619173472e-07    -8.669986426237926e-05    2.642902060864983e-05      
Lambda        AB|MEGACAMPSF|g           3354.9902918477765    All      -0.0013184603803364028    0.0002318089678298439     -0.0008467016589188382    0.00046718932276689444     
Lambda        AB|MEGACAMPSF|r           4281.780426973707     All      -0.0002944673709845572    4.847815001119015e-05     -0.0016688570426626336    3.723521372995653e-05      
Lambda        AB|MEGACAMPSF|i           5234.4593588336365    All      0.0008531484179251903     7.22415665819446e-05      -0.0011137996890101453    -0.00030407081717838294    
MWEBV         All|All|All               All                   All      -0.38112430539816566      -2.441250584197441        -0.19421358653020637      -0.6797177655224473        
Redshift      All|All|All               All                   All      1.8842375527924613        -0.5997024429804654       -1.7915473002908522       -0.8890495035546494        
