#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7082.331365014497    All      0.8097171311016111         -0.3091218351579883        1.1144636605648572        -0.314709265394858         
Zeropoint     AB|PS|PS_r                5847.287348315506    All      0.8218012699535725         0.544791795315458          -2.5304319014323173       -0.20315265313822217       
Zeropoint     AB|PS|PS_g                4604.409388085119    All      -1.0360836794845805        0.9066204131592315         0.6779425386188365        0.6630560978614308         
Zeropoint     AB|PS|PS_z                8139.326875593404    All      0.3978595399813497         -0.14416803466676953       0.6963443911659595        -0.14548156125680223       
Check         All|All|All               All                  All      0.9932942615519529         0.9981223386499316         -0.04168131108266415      -0.00028738192845156885    
Lambda        AB|PS|PS_i                7082.331365014497    All      -0.0006859942520780239     0.00018621302952341162     -0.001560414077442102     0.00021447249283122722     
Lambda        AB|PS|PS_r                5847.287348315506    All      -0.00040109225387630515    1.6510402814130528e-05     -0.0014741648286043937    7.024171829694911e-05      
Lambda        AB|PS|PS_g                4604.409388085119    All      -1.9545610964332854e-05    -0.00013388943973989865    -0.0005271691661735091    -6.0770685518350665e-05    
Lambda        AB|PS|PS_z                8139.326875593404    All      0.0001185029830018302      -5.251528587352809e-05     0.0005195583568499383     -3.252077328564063e-05     
MWEBV         All|All|All               All                  All      -0.6380979991350544        -3.890924893204417         0.23127341873961926       -1.0492320637465913        
Redshift      All|All|All               All                  All      8.28570766146238           -1.220849610330088         25.804496104183038        -1.9450623145014305        
