#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7082.331365014497    All      0.8214074069186792         -0.3210059655001096        1.0756295264938622        -0.3241212141006937        
Zeropoint     AB|PS|PS_r                5847.287348315506    All      0.7211644209751811         0.5788309141210313         -2.5458861071979038       -0.15997390994796828       
Zeropoint     AB|PS|PS_g                4604.409388085119    All      -0.9712052777938831        0.8902912006299779         0.8748361045438664        0.6453905618066355         
Zeropoint     AB|PS|PS_z                8139.326875593404    All      0.4245732371393025         -0.1649020172463267        0.6046315262095274        -0.16502955547065926       
Check         All|All|All               All                  All      0.9959397872392796         0.9832141320045729         0.009211050049352298      -0.0037341177126858083     
Lambda        AB|PS|PS_i                7082.331365014497    All      -0.0006924855309890099     0.00020628741823327292     -0.0015346321326999732    0.00022427633454149396     
Lambda        AB|PS|PS_r                5847.287348315506    All      -0.00023280054867393337    5.525546086586553e-06      -0.0012887311547121099    2.012049725243025e-05      
Lambda        AB|PS|PS_g                4604.409388085119    All      -0.00014187800737574936    1.0893445227859604e-05     -0.0002005185749248239    4.081446509410687e-05      
Lambda        AB|PS|PS_z                8139.326875593404    All      0.00010653412778987573     -5.4126543936582756e-05    0.00039514303489609825    -3.4699047539313693e-05    
MWEBV         All|All|All               All                  All      -0.6210147481158526        -3.90130375394131          0.2606001824923413        -1.056868658248862         
Redshift      All|All|All               All                  All      7.5236742261914245         -1.507758100001677         21.84741066385484         -1.9668850375390838        
