#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5381.453061355896    All      0.7167194214081388         0.16662814294994277        0.08502343495927489        -0.17538862145562717      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4294.22239704197     All      -0.7058313639167452        0.400075625489027          -0.27591146212124773       0.34791762836975937       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6094.905497126009    All      1.1941824655159825         -0.06159290557592456       0.2024197093002833         -0.40001429020122753      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7396.024298195646    All      0.43751437873781107        -0.07548419522693806       -0.05213693945159692       -0.16942714484352375      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4623.588916841678    All      -0.6432086199146405        0.5676673594149584         0.04193411646473688        0.39629347012549443       
Check         All|All|All                      All                  All      0.9993762818305469         0.9972940270510655         0.0013288591514504233      -0.0006189580051246812    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5381.453061355896    All      9.973206683526787e-05      1.8018455796598417e-05     -0.0001303005930027151     -3.243152842998092e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4294.22239704197     All      -0.0004235535212852102     9.682963500484846e-05      -0.0009648386723190231     0.00012644959549913763    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6094.905497126009    All      -0.00017968991479820064    -1.4320507395750853e-05    -0.0002067990192866554     4.463776604566059e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7396.024298195646    All      -0.0001051725320072153     -2.162845878133806e-05     -0.00032509197636121807    1.2705691356478945e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4623.588916841678    All      -2.6391602391635338e-05    -0.00012254364121151143    -0.0011448977506169804     -8.241141063661317e-05    
MWEBV         All|All|All                      All                  All      -0.8594842716570388        -4.010699421824171         -0.007274867163253873      -1.0267790902177518       
Redshift      All|All|All                      All                  All      5.317848072506224          -0.030028150294825195      2.026254238207237          -1.6515568052660123       
