#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5381.453061355896    All      0.7131371466850216         0.16826439118728942        0.10928707910809075        -0.17260600184362337      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4294.22239704197     All      -0.6708395916556928        0.37381354732550776        -0.3175565649201152        0.3261068044257801        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6094.905497126009    All      1.193805433358344          -0.06036247334133549       0.16492462096548482        -0.4011639197483414       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7396.024298195646    All      0.4236778191619102         -0.07036452043776009       -0.04330174336639082       -0.16285820144653612      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4623.588916841678    All      -0.6609493123300714        0.5857713690285316         0.08631757955776717        0.4099498989439795        
Check         All|All|All                      All                  All      0.9988314952195115         0.9971223137622331         -0.0003290286551632382     -0.000571419668741302     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5381.453061355896    All      0.0001083820002875493      5.460371431530068e-06      -0.00019052292929032776    -4.202712383348343e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4294.22239704197     All      -0.00037451485976624203    6.716984719976034e-05      -0.0010798986297284765     9.568032400430004e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6094.905497126009    All      -0.00017570906882930084    -1.8629654597476586e-06    -0.00010628008276249132    5.188460326745664e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7396.024298195646    All      -9.179685969966443e-05     -1.7095865061278905e-05    -0.00026050731870834893    1.2707326376332809e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4623.588916841678    All      -3.553525498733003e-05     -0.00011787436063589176    -0.0010481051303861111     -7.359267378223419e-05    
MWEBV         All|All|All                      All                  All      -0.8597320026584874        -4.01020304407016          -0.006955629732459732      -1.0265224634153158       
Redshift      All|All|All                      All                  All      5.164445965218358          0.19301245069405226        3.0990195123886024         -1.4810644434290123       
