#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F850LP      4243.129310718921     All      -0.5506904523870052       1.7009519783414362        -9.946262775149908        0.28957799040159743        
Zeropoint     VEGAHST|NICMOS2|F160W     7550.676053043609     All      1.6197817144861746        -0.21213392855727875      3.5235590540767134        -0.43947493571170804       
Zeropoint     VEGAHST|ACSWF|F775W       3612.5046674389264    All      0.00542134093856933       -0.5582592609350456       6.607704942781309         0.1112622069340145         
Check         All|All|All               All                   All      1.0745126030377385        0.9305587888491118        0.18500122170811473       -0.038634738376096114      
Lambda        VEGAHST|ACSWF|F850LP      4243.129310718921     All      -0.0005100301328678955    -8.908487827733816e-05    -0.003346050480314594     -1.2203146974769376e-05    
Lambda        VEGAHST|NICMOS2|F160W     7550.676053043609     All      -0.000267751997643433     3.409888492736815e-05     -0.0006432183649833078    6.96188816182697e-05       
Lambda        VEGAHST|ACSWF|F775W       3612.5046674389264    All      -0.0007039578271740649    -0.0010667686286338336    0.00959490160290977       0.0003099969765924658      
MWEBV         All|All|All               All                   All      -0.06701090563901713      -1.3782143514745826       0.2546949369473352        -0.4157362343562804        
Redshift      All|All|All               All                   All      5.489171499952095         0.8957017577587933        -6.085341979926009        -1.7678050792974478        
