#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  NICMOS2
@BAND  F160W
@MAGSYS  VEGAHST
52651.89999999991  0.09375620069258797  0.021588068380973574  22.11
52664.0  0.07870457896950972  0.018122319592071886  22.11
