#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5364.029401191668    All      3.4630755975362746         -0.008645242359506256      0.37088346904742275       -1.1143028679597016        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4479.352795168486    All      -2.467627387156271         1.0105729365017524         -0.3748154996014441       1.1162379805252851         
Check         All|All|All                            All                  All      0.9954482103800039         1.0019276941422461         -0.00393203055402136      0.001935112565583541       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5364.029401191668    All      0.00037777148107749983     -5.165210391279333e-05     -0.0005280066091845497    -0.00016343989916891742    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4479.352795168486    All      -4.4233117214555195e-05    -0.00021248133063521142    -0.00162841337330911      -0.00012747258813159752    
MWEBV         All|All|All                            All                  All      -0.13699535831402754       -2.4358465696446174        -0.004826221249631946     -0.7490268415771301        
Redshift      All|All|All                            All                  All      -1.555150073634551         0.44269236110494603        -2.837851897763488        0.5241227116436153         
