#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3867.746632479062    All      -1.0586377263057902        0.532771724856218          0.1197428278687962         0.5237179865081543         
Zeropoint     AB|SDSS|SDSS_r            5053.988611506355    All      0.836553714095903          0.337020743167038          -0.9913880939165898        -0.20695542012880708       
Zeropoint     AB|SDSS|SDSS_i            6128.844538697045    All      1.1064694545318874         0.1155023414387557         0.6815728484720562         -0.2923751247076417        
Zeropoint     AB|SDSS|SDSS_z            7286.685264287734    All      0.11442711476486783        0.013389287184750742       0.19352488896684505        -0.024275217521713133      
Check         All|All|All               All                  All      0.9988125570868678         0.9986840966467625         0.0034524713911077143      0.00011222414999234598     
Lambda        AB|SDSS|SDSS_g            3867.746632479062    All      -0.0009960907397088834     0.0002492699600011688      -0.002071704890094306      0.0003132042767971115      
Lambda        AB|SDSS|SDSS_r            5053.988611506355    All      -0.00030377094222666683    -0.00010580452389511648    -0.0016894041255895264     -1.0906171620265386e-05    
Lambda        AB|SDSS|SDSS_i            6128.844538697045    All      -0.0002875109667187695     -3.798795648879697e-05     -0.00025297980304987217    6.998852677919871e-05      
Lambda        AB|SDSS|SDSS_z            7286.685264287734    All      -1.644074969046191e-05     -1.1111170432069184e-06    -2.004926108588535e-05     4.098659243807393e-06      
MWEBV         All|All|All               All                  All      -0.576003562714487         -3.1256275067805817        0.1582350762481477         -0.8234350940130614        
Redshift      All|All|All               All                  All      6.315049223276729          1.655196768893319          8.639871650720554          -1.1323094587083693        
