#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3867.746632479062    All      -1.02943799846688          0.5642921102237963         0.19913711769478395       0.5280169035227563        
Zeropoint     AB|SDSS|SDSS_r            5053.988611506355    All      0.7178244421545051         0.31894349535868116        -0.860438284920177        -0.16832605597064762      
Zeropoint     AB|SDSS|SDSS_i            6128.844538697045    All      1.2044818626803453         0.10473005384099565        0.4977974425308188        -0.3360109313396181       
Zeropoint     AB|SDSS|SDSS_z            7286.685264287734    All      0.10552972886836902        0.010983633456795872       0.16824042069429848       -0.02328897647441507      
Check         All|All|All               All                  All      0.9983980352363395         0.998949292880269          0.0047366959997241775     0.0003909397380754791     
Lambda        AB|SDSS|SDSS_g            3867.746632479062    All      -0.0011169456732250766     0.00047590215165248527     -0.0010292285166822023    0.00047291319807560273    
Lambda        AB|SDSS|SDSS_r            5053.988611506355    All      -0.0001555305705143774     -5.8031138648350065e-05    -0.0017025953274102717    -4.422023713002604e-05    
Lambda        AB|SDSS|SDSS_i            6128.844538697045    All      -0.0001456923693492833     -2.3843231785564102e-05    -0.0002960830649577338    2.647744549332562e-05     
Lambda        AB|SDSS|SDSS_z            7286.685264287734    All      -2.3777306434806383e-05    -2.358997840683039e-06     -3.554161509793266e-05    5.390588705441879e-06     
MWEBV         All|All|All               All                  All      -0.5676940160338546        -3.136368802340783         0.0883304265128114        -0.832760103542239        
Redshift      All|All|All               All                  All      5.8736517300684845         0.9441794231257461         6.3380988008073675        -1.3228510655479246       
