#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4293.47615739925      All      -0.37837408356696917       0.21083691635563895        -0.1285379025168929        0.18618935090481883        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g            4600.173860762364     All      -0.30079173017701083       0.24968405649055114        0.04753848698129396        0.1814294981706838         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4690.22049695091      All      -0.3289085515462617        0.273259637880674          -0.20300994526146415       0.1870865885752818         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7423.058202697028     All      0.24288242785062722        -0.03855423992220608       0.038267315192372524       -0.08996548716334797       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6071.270802093824     All      0.6829108974891824         -0.05547155672225301       0.01577529136488975        -0.23981147859753926       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B            4272.475338630802     All      -0.2988667970411778        0.19363622967700778        0.08876342272705331        0.16438554255107227        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5244.826605157874     All      0.27655900259562466        0.1331720176594331         -0.08281400721937725       -0.050401467076627446      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r            6064.0393114464205    All      0.5521229286675903         -0.037932566265386214      0.05265814341214342        -0.18985059585847325       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i            7358.568908709049     All      0.23753260500980175        -0.030305996638535504      0.08847688919936311        -0.08329552697981255       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V            5354.199984257962     All      0.31222842911381304        0.09792846542815425        0.08307349269088182        -0.06609735999576807       
Check         All|All|All                              All                   All      0.9972951283952199         0.9962529639430784         0.0001911865702636517      -0.00033093546971185717    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4293.47615739925      All      -0.0002501225217208812     7.094863234509893e-05      -0.00046581337770648434    8.379632616292892e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g            4600.173860762364     All      -7.264805767917358e-05     -2.4635493110726806e-06    -0.0003510435953701347     7.195940000779299e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4690.22049695091      All      -4.617825289375821e-05     -6.524111397131715e-05     -0.0006859304958504427     -3.6819328667449384e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7423.058202697028     All      -3.2500946235134976e-05    -8.34418346881428e-06      -9.416614215895715e-05     3.6664499317731477e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6071.270802093824     All      -3.8776773583260515e-05    -2.4805627161546048e-05    -0.00021419036003824456    -5.007470001148221e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B            4272.475338630802     All      -0.00015173375423002428    7.052572184376954e-05      -0.00011820275957445325    6.71223772026364e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5244.826605157874     All      0.00014756134324772936     -3.4477306583996196e-05    -0.000664585166042158      -8.895336077508183e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r            6064.0393114464205    All      -4.7768525174233285e-05    -4.353751819282238e-06     -6.681389217980536e-05     1.1160022842448766e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i            7358.568908709049     All      -3.014978516878856e-05     8.360103612553202e-06      2.0932789684917282e-05     1.3478071976604376e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V            5354.199984257962     All      0.00010125213361864135     -9.339842469860829e-06     -0.00025784812202760805    -4.7530022412470514e-05    
MWEBV         All|All|All                              All                   All      -0.8371841717153381        -3.986076560892471         0.023501566153661772       -1.0246490796788539        
Redshift      All|All|All                              All                   All      5.182431122397881          0.3862471919557464         6.4694076046791            -1.273574947427068         
