#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4198.682338481197     All      -0.5574626653753986        0.23844845462228648      0.42642437165234526       0.27828379769187506       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5197.869486705514     All      -0.6655740486183426        1.3361457775884489       -1.0910401352539623       0.6033378917514653        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6003.017821283206     All      1.1114749931983279         0.270980043917568        -1.1283580094204826       -0.3241302920427902       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7308.6162943900235    All      1.1205223368931096         -0.8813996066614038      1.9826638701900379        -0.5636146558105792       
Check         All|All|All                                All                   All      1.0089606160976963         0.9641746694668996       0.18969009716793828       -0.006123258410029031     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4198.682338481197     All      -0.00044995881480081035    0.0001032299597580293    0.0006185904628213839     0.00020779663451640695    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5197.869486705514     All      -0.00040656821055613866    0.0007540599308756266    -0.0016529503865105222    0.00030429118517258104    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6003.017821283206     All      -0.00016769954312540966    7.553436775539382e-05    -0.0017432530370844062    1.4359103583843124e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7308.6162943900235    All      -0.00046283043197327867    0.0001633047648591756    -0.0022174237703605237    0.00010499939423226793    
MWEBV         All|All|All                                All                   All      -0.7383684105862733        -3.984575427121406       0.23736184355969137       -1.0468040534095946       
Redshift      All|All|All                                All                   All      14.980221043609026         -12.415106817534571      74.0447786671035          -5.619281167345413        
