#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           7476.812041126592    All      0.3484156795378345        -0.06031356299889268      0.05587308016091284       -0.1306432021350756       
Zeropoint     AB|MEGACAMPSF|g           4160.003304704646    All      -0.874748532139794        0.6638085445512587        0.07307479862508964       0.5044196495448502        
Zeropoint     AB|MEGACAMPSF|r           5307.673496770234    All      0.35763800564965087       0.49159800829112754       -0.45581644070717287      0.023294185753939406      
Zeropoint     AB|MEGACAMPSF|i           6490.187066857873    All      1.1649730025648801        -0.09621366526726405      0.327123388860402         -0.3962119751004134       
Check         All|All|All               All                  All      0.9962781556125715        0.9988793245762295        0.0002548269392315672     0.0008586580633005436     
Lambda        AB|MEGACAMPSF|z           7476.812041126592    All      -2.656804725608608e-05    -6.611371178080628e-06    -9.767697427895527e-05    2.1416712057943244e-06    
Lambda        AB|MEGACAMPSF|g           4160.003304704646    All      -0.0006759416171648483    0.0003640113694129759     -0.0006638798946588387    0.00030912099055686106    
Lambda        AB|MEGACAMPSF|r           5307.673496770234    All      -3.677120932874992e-05    3.357221695366617e-05     -0.002121536207451096     -7.17612489050111e-05     
Lambda        AB|MEGACAMPSF|i           6490.187066857873    All      -0.0003848018388197065    -2.413961760410035e-05    -0.000746809760341147     8.415286125370326e-05     
MWEBV         All|All|All               All                  All      -0.5408200933917753       -3.341741660327635        -0.0018281115838313967    -0.9124338821572785       
Redshift      All|All|All               All                  All      6.263669663980413         -0.012335910732907962     7.7287316567488995        -1.6994036930745022       
