#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           7476.812041126592    All      0.345727388507039          -0.06166477720093155       0.03430518017268441        -0.13117014854212145      
Zeropoint     AB|MEGACAMPSF|g           4160.003304704646    All      -0.8734175853940451        0.6548214442359424         0.03256931284621502        0.4992511483680518        
Zeropoint     AB|MEGACAMPSF|r           5307.673496770234    All      0.36118520897338724        0.4949071422155171         -0.44526518421309014       0.02368749283548422       
Zeropoint     AB|MEGACAMPSF|i           6490.187066857873    All      1.1627058187526633         -0.0893253574789199        0.3779989135429653         -0.39095938927563423      
Check         All|All|All               All                  All      0.9962008308390445         0.998738451771608          -0.0003917776512254445     0.0008091033857803298     
Lambda        AB|MEGACAMPSF|z           7476.812041126592    All      -2.8385395510350497e-05    -6.608844896890288e-06     -0.00010127885410079831    2.573728860472587e-06     
Lambda        AB|MEGACAMPSF|g           4160.003304704646    All      -0.0006592086679413397     0.000351558040233231       -0.0006697779646493512     0.00029935085570606177    
Lambda        AB|MEGACAMPSF|r           5307.673496770234    All      -4.434296919342295e-05     3.8179326660910305e-05     -0.002068395259422333      -6.542275396955257e-05    
Lambda        AB|MEGACAMPSF|i           6490.187066857873    All      -0.0003713565995046818     -1.9119694910324814e-05    -0.0006731319062775989     8.469636268219086e-05     
MWEBV         All|All|All               All                  All      -0.5406671487450221        -3.3412881571129205        0.0008555149209509035      -0.9122162224181525       
Redshift      All|All|All               All                  All      6.270973417575291          0.0167073608762891         7.579510173173206          -1.6989814863108381       
