#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6046.3349883902065    All      0.9693562643912303         0.25456999882447207       -2.433453743712549         -0.34142326659784283       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5247.1232839276845    All      -0.2011150723618217        0.6490504243378936        -0.3893139145763558        0.2595535799357507         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4242.8628161830065    All      -0.7394461879971039        0.5208558367883143        1.0423605973904737         0.45703759825013457        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7366.388064061805     All      0.9539407774617117         -0.4170143697942663       1.6612398801321648         -0.37243168849442065       
Check         All|All|All                                All                   All      0.9827357814940163         1.0074618901564136        -0.11916718076626642       0.002736223093621759       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6046.3349883902065    All      -0.00031564475729549266    -4.120725303513542e-05    -0.00037020496143440643    7.287277672437902e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5247.1232839276845    All      -0.00017585949774599527    8.547720423741139e-05     -0.001973634484230915      -2.9482808977943816e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4242.8628161830065    All      -0.00032513004400079934    0.00015508838058884048    -0.00026287748061421017    0.00014469192499853194     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7366.388064061805     All      -0.0005585043081175495     0.00024049909893634827    -0.002085149969063835      0.00016721102973685746     
MWEBV         All|All|All                                All                   All      -0.774399898712935         -3.9677733609284616       0.3461536662890591         -1.0247395472097478        
Redshift      All|All|All                                All                   All      10.207732842951856         -1.6169467036628582       22.200024909355577         -2.8610019980563517        
