#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6046.3349883902065    All      1.0250771567435677         0.22390190814904898        -1.6962313746343987        -0.33666415209101996      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5247.1232839276845    All      -0.21581881623317445       0.641628193659205          -0.05643293172678434       0.27678035773479154       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4242.8628161830065    All      -0.7439134676131285        0.5328370562737383         0.327053538021473          0.4304745467738791        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7366.388064061805     All      0.9281406039144315         -0.40486683466278706       1.3841502914656505         -0.3724361070509526       
Check         All|All|All                                All                   All      0.9934854768116961         0.9935003234192052         -0.041460476874059626      -0.0018453546333019322    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6046.3349883902065    All      -0.0002621186077261494     -1.8243323012425233e-05    -0.0005947097951638766     5.289903673494236e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5247.1232839276845    All      -0.00015404796273517867    0.0001119568045687791      -0.0013239737434275164     2.7563636630093816e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4242.8628161830065    All      -0.0003915458386652186     0.0002214531932322382      -0.00024113382467639682    0.00018891325665042034    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7366.388064061805     All      -0.00044729804694770283    0.00017658745746034144     -0.001214572878343804      0.00014901922478011175    
MWEBV         All|All|All                                All                   All      -0.7751700485820177        -3.9691738758912187        0.18940755881737006        -1.0319397367267822       
Redshift      All|All|All                                All                   All      9.829825016984223          -2.1672822029947802        16.727345627565953         -3.16138790521253         
