#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5361.280231552937    All      0.19840475289010448        0.18380645665638795        0.11871434443737616        0.0005425306039752442      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6391.919535382191    All      0.6999747376447762         -0.11660813928917602       -0.07711168183733852       -0.2694290479953315        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8256.492111407846    All      0.13678808298742784        -0.03177799999622977       0.04126957588533875        -0.053065847259728405      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6389.567460610576    All      0.5102574338745527         -0.07459274835608376       0.05634377711419836        -0.18799058135700042       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5407.18379420725     All      0.37898015417622166        0.27015356951813896        0.009610668870008165       -0.035019518899964686      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7919.733544982242    All      0.23340477379034136        -0.06499752747981535       -0.011371080900524078      -0.09770688578290831       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4343.541104726987    All      -0.36126008127148          0.2332007053405416         -0.09096439138140955       0.18957611237549465        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4470.936104457025    All      -0.7987135819755466        0.5975096632342414         -0.04605798152578222       0.45274048916637           
Check         All|All|All                       All                  All      0.9978362721163977         0.996693979628005          0.0004332306618670678      -0.00035274914909344535    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5361.280231552937    All      5.1935153599197146e-05     5.963155385299679e-05      -0.00015990749278783318    -4.628966207861077e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6391.919535382191    All      -0.00021023567506870205    -4.6332522509072376e-05    -0.00061625392006415       2.5888066941642056e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8256.492111407846    All      -7.54499936421799e-06      1.97085985655862e-06       -1.1773050420108996e-06    3.0470906938179535e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6389.567460610576    All      -0.00010569825352244763    1.8673996209303448e-06     -0.00010991403841594354    3.0132713316089158e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5407.18379420725     All      6.836736901458148e-05      -4.6572610586844046e-05    -0.0009513098945274574     -7.989232415364404e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7919.733544982242    All      4.540727214434433e-05      5.5846485009121495e-06     0.00014871832130589898     -6.334923004730952e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4343.541104726987    All      -0.00022411489811193086    0.00012206467544372836     -0.00016036934011583515    0.00010560552897713024     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4470.936104457025    All      -0.00039799536232417495    0.00018002639884429064     -0.0005402535129794969     0.0001641716709740308      
MWEBV         All|All|All                       All                  All      -0.8719860161560486        -4.140586466513474         0.00697804364359067        -1.0643793024033399        
Redshift      All|All|All                       All                  All      3.2562202254582377         -0.6805815776846025        -1.9140892162154532        -1.3677628748418103        
