#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5361.280231552937    All      0.22421636208570134        0.17957063603082357        0.10456600220833347        -0.00987628135255247       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6391.919535382191    All      0.6944101511671061         -0.10240640363243791       -0.031095078197117487      -0.26093699690962513       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8256.492111407846    All      0.13560991410003204        -0.030712685708844667      0.0358555637988044         -0.052576673475062057      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6389.567460610576    All      0.5292220342025148         -0.07574199258650882       0.03436255112488926        -0.19552324341528138       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5407.18379420725     All      0.3916181344948444         0.2475300213482745         0.020290029089128685       -0.046028788000442744      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7919.733544982242    All      0.21511584054017177        -0.05298393768631282       0.016969882918596538       -0.08657163005427912       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4343.541104726987    All      -0.42891503555616806       0.274155425651057          -0.09763579518012437       0.22465614243242607        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4470.936104457025    All      -0.7640721910793888        0.5574499936870536         -0.08286855382813281       0.42676520941107116        
Check         All|All|All                       All                  All      0.9972052099548135         0.9968610571031045         0.00044460193437767526     -9.226136374568261e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5361.280231552937    All      6.385673955795251e-05      3.712107812096645e-05      -0.00014676052635089062    -1.5257932751484718e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6391.919535382191    All      -0.00022034655610007008    -2.9226239255589527e-05    -0.0005362984802818306     3.8321636822758875e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8256.492111407846    All      -1.0448408491990356e-05    2.2287773033250524e-06     -2.8889218888076664e-06    4.0004571649995956e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6389.567460610576    All      -0.00011590062808685207    4.764494019926128e-06      -9.789519845865383e-05     3.4935986943955255e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5407.18379420725     All      5.712162651864549e-05      -7.276507723623458e-05     -0.0009447160400235499     -8.446671050101185e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7919.733544982242    All      2.8140421415654012e-05     4.186361953130258e-06      0.00010477571160218371     -3.1269664407246203e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4343.541104726987    All      -0.0002098829350459509     0.00011090498436021117     -0.00013999270302962423    9.824394758667868e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4470.936104457025    All      -0.0003130512899841174     0.00011121681906302247     -0.0005232122853213878     0.0001148495198560618      
MWEBV         All|All|All                       All                  All      -0.8750239198641347        -4.137634878796437         0.002620247785918508       -1.0626227964122577        
Redshift      All|All|All                       All                  All      3.4830582757294266         -0.225520072352281         -1.663747809735877         -1.2822514000050564        
