#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          5886.148850111655    All      1.0693704050471502         0.09777498389738071        -0.16026148949767893      -0.3236323274302774       
Zeropoint     AB|DECam|DECam_r          4845.065029100258    All      -0.2810432863018031        0.6481867987279344         -0.15542800759371644      0.29574477133205157       
Zeropoint     AB|DECam|DECam_z          6897.700750424233    All      0.7162574421068402         -0.045931220974892994      0.2921622609447533        -0.23523206297469124      
Zeropoint     AB|DECam|DECam_g          3645.443350047577    All      -0.5129124952495713        0.30075971660501466        0.02718914655189808       0.2662531351570671        
Check         All|All|All               All                  All      0.9916720656026163         1.0007902782554368         0.003661910405255986      0.003133516084150023      
Lambda        AB|DECam|DECam_i          5886.148850111655    All      -0.00023217703532058968    -1.4038756864527427e-05    0.0002047234800241376     8.01906824818792e-05      
Lambda        AB|DECam|DECam_r          4845.065029100258    All      -0.0002103800702043356     -1.0526741589896073e-05    -0.0011087655143019023    1.5619691581458917e-05    
Lambda        AB|DECam|DECam_z          6897.700750424233    All      -0.000539948674164615      4.5803076611976125e-06     -0.0005763361651382877    0.0001516517678181978     
Lambda        AB|DECam|DECam_g          3645.443350047577    All      -0.0008550251369516793     0.0003737641237294349      -0.0006958444478374788    0.00036920474636071       
MWEBV         All|All|All               All                  All      -0.4640947761531211        -2.7693097085389695        0.08006183465894545       -0.747311550826571        
Redshift      All|All|All               All                  All      6.49299477518927           0.40280436176480805        6.767623142816051         -1.6817674406705743       
