#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          5886.148850111655    All      1.0535291805425968         0.0971176393122164        -0.28908740522518184      -0.3244353471486092       
Zeropoint     AB|DECam|DECam_r          4845.065029100258    All      -0.25967143978939644       0.6186024166643378        -0.15492805376176402      0.2791689619180367        
Zeropoint     AB|DECam|DECam_z          6897.700750424233    All      0.7238260862924382         -0.03423409277907297      0.40264706356782815       -0.22895685060674878      
Zeropoint     AB|DECam|DECam_g          3645.443350047577    All      -0.5254006544196568        0.31897456893315024       0.044343630791427294      0.27701964194502693       
Check         All|All|All               All                  All      0.9922831726259816         1.0004605321306315        0.0029752353723096064     0.0027964061077055957     
Lambda        AB|DECam|DECam_i          5886.148850111655    All      -0.00017061674187327842    1.8579285145322492e-06    0.0002599341784068541     6.778034294122139e-05     
Lambda        AB|DECam|DECam_r          4845.065029100258    All      -0.0001831106324804497     3.588866603891166e-05     -0.0009628397006264955    2.836816271450537e-05     
Lambda        AB|DECam|DECam_z          6897.700750424233    All      -0.0005377425838028957     -2.801443793454102e-07    -0.0005980885148956275    0.0001483792550107001     
Lambda        AB|DECam|DECam_g          3645.443350047577    All      -0.000912162667876389      0.00045517019491311296    -0.0005077603873856429    0.00042272628329565766    
MWEBV         All|All|All               All                  All      -0.45876467287613076       -2.7735428052796607       0.06506248185735124       -0.7510959519182647       
Redshift      All|All|All               All                  All      6.5116023733096355         -0.012795158585987565     6.6247008909691765        -1.8295809478282887       
