#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3891.9239712520266    All      -0.9904807881707679        0.5346572331767163         0.06882439038919941        0.4998589455474933        
Zeropoint     AB|SDSS|SDSS_r            5085.581165627918     All      0.8423161962856944         0.49348960764419303        0.8871203165222767         -0.07403619064428324      
Zeropoint     AB|SDSS|SDSS_z            7332.2344366888565    All      0.05618109528654405        -0.00316111312912426       0.02456032954283871        -0.01823369487566756      
Zeropoint     AB|SDSS|SDSS_i            6167.156032385537     All      1.0900666004060156         -0.02678969714722257       -0.9792301430773184        -0.4074953834380557       
Check         All|All|All               All                   All      0.9980831038074865         0.9981960305445625         0.0012748933769964887      9.367658948683522e-05     
Lambda        AB|SDSS|SDSS_g            3891.9239712520266    All      -0.0013979896146084335     0.0004893910281598575      -0.0019430981172838674     0.0005280704236809125     
Lambda        AB|SDSS|SDSS_r            5085.581165627918     All      -4.384974907470449e-05     -1.2900687663823088e-05    -0.0010969998694788086     -3.887293834127537e-05    
Lambda        AB|SDSS|SDSS_z            7332.2344366888565    All      -2.7409849850500985e-05    5.618039088240445e-07      -5.241528144012548e-06     8.877382541887724e-06     
Lambda        AB|SDSS|SDSS_i            6167.156032385537     All      -0.00026318020719471084    -8.260128500729741e-06     -0.00022243354499004912    7.310966873952587e-05     
MWEBV         All|All|All               All                   All      -0.548991384180868         -3.1717344662141045        0.11280057559460988        -0.8492799358882003       
Redshift      All|All|All               All                   All      6.6596474467671385         0.6305860360280136         2.4603815041377612         -1.8540681253004079       
