#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3891.9239712520266    All      -1.1052627361187788        0.5105393498462618         -0.5571142318258656        0.5014584482752108        
Zeropoint     AB|SDSS|SDSS_r            5085.581165627918     All      0.8573952653616767         0.5094477339181225         1.0416453359824989         -0.06685411088402342      
Zeropoint     AB|SDSS|SDSS_z            7332.2344366888565    All      0.08892993109180025        -0.004291482226648213      0.040949249127363904       -0.02853790429576535      
Zeropoint     AB|SDSS|SDSS_i            6167.156032385537     All      1.1560140210090848         -0.017317423396434606      -0.5274710059198691        -0.4057312613083197       
Check         All|All|All               All                   All      0.9970764813437829         0.9983781781413015         -0.001990652635871948      0.0003351717871022952     
Lambda        AB|SDSS|SDSS_g            3891.9239712520266    All      -0.0013626812698649656     0.00047095672628348346     -0.0017699772950624893     0.0005182902627768365     
Lambda        AB|SDSS|SDSS_r            5085.581165627918     All      -1.6354843502977968e-05    -2.160674176549503e-05     -0.0010590993133615038     -4.897345413454173e-05    
Lambda        AB|SDSS|SDSS_z            7332.2344366888565    All      -2.4454213660716117e-05    1.038527551101892e-06      -1.842445145168324e-05     7.481625851119676e-06     
Lambda        AB|SDSS|SDSS_i            6167.156032385537     All      -0.0002840435273484537     -1.0703266832525363e-05    -0.00027888914889170993    7.659037365399481e-05     
MWEBV         All|All|All               All                   All      -0.5556624947612914        -3.170923338181808         0.09684392078984341        -0.8475547968313708       
Redshift      All|All|All               All                   All      6.620847267964203          0.7696557043210817         2.629606057163294          -1.7885783497758145       
