#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6149.7708554696765    All      1.3220610243957986        -0.17085581056237586       -0.10141250195469223       -0.49081770284233467      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7535.357723826614     All      0.4217626251669295        -0.09906766209502038       0.061482818065373306       -0.1669078635788253       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5359.143461209332     All      0.431970077687789         0.48979547749130603        0.30580941860104527        0.03248250493545936       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4380.549161327763     All      -1.1778220459478006       0.778423714622356          -0.2648243131139931        0.625395709991381         
Check         All|All|All                                All                   All      0.9979716813027164        0.9982957194562658         0.001055421597733197       0.00015264850568041943    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6149.7708554696765    All      -0.0003071772431429777    1.5750175962507996e-05     -0.00025637067628036197    9.374743858471535e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7535.357723826614     All      -0.0001262656895063111    2.891475025327313e-05      -3.0521028683030284e-05    4.918536118241339e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5359.143461209332     All      0.00011602360067591676    -2.6959876655545354e-05    -0.0007392479824540028     -7.956366479728356e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4380.549161327763     All      -0.0003934371433961448    1.524574392884066e-05      -0.0016414842641288734     5.986955802584033e-05     
MWEBV         All|All|All                                All                   All      -0.8582149609342848       -4.052270747850173         0.02090430824869894        -1.039476187845543        
Redshift      All|All|All                                All                   All      5.426579315607508         0.02607702632513309        1.3380360112673901         -1.6994108650614799       
