#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6149.7708554696765    All      1.322310688409562         -0.16072769371753282      -0.0625419794951565        -0.4858653528722903       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7535.357723826614     All      0.40994717293475896       -0.10262429750582669      0.028315001254197725       -0.16569782256311422      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5359.143461209332     All      0.3702128199296463        0.5534512388880586        0.5260555587513371         0.08316222492095945       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4380.549161327763     All      -1.1048655848263025       0.7081323257343008        -0.4911104760474405        0.5686370603720209        
Check         All|All|All                                All                   All      0.9976050964476646        0.9982315733989999        0.0007181044629378519      0.00023610985757582803    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6149.7708554696765    All      -0.0002476497779824404    1.0572703565649071e-05    -0.00014564130663888606    7.761225489855444e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7535.357723826614     All      -0.0001238777092389774    3.090816069258871e-05     -2.1453074465588985e-05    4.94614979575832e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5359.143461209332     All      1.0964464526354935e-05    9.145187655252123e-06     -0.0007108099652717757     -3.231278244734075e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4380.549161327763     All      -0.0003408585847227515    -7.327048648338336e-05    -0.002071700370586636      -5.288225580130631e-06    
MWEBV         All|All|All                                All                   All      -0.8585852514882055       -4.052290953696591        0.023534842508654563       -1.0392447650764496       
Redshift      All|All|All                                All                   All      5.845336086257            0.23701473249957417       3.4588253215719345         -1.6724632849192413       
