#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6252.9034965879955    All      1.0872972302965858         0.00934175073883381        -0.27608898402605164       -0.36344614670010456      
Zeropoint     AB|SDSS|SDSS_z            7434.181023832494     All      0.10547167391427086        0.0033906950752893295      0.14019211667712916        -0.026995002884109068     
Zeropoint     AB|SDSS|SDSS_u            3000.9079534665384    All      -0.10346568365262002       0.04379784032106926        0.08261341272383649        0.05165523176444784       
Zeropoint     AB|SDSS|SDSS_g            3946.036857264825     All      -0.8240338193186649        0.5096327574175774         -0.04230616538942744       0.43253115051397095       
Zeropoint     AB|SDSS|SDSS_r            5156.290530959104     All      0.7261311422328633         0.43377978491534464        0.09462973734996605        -0.09100556459302067      
Check         All|All|All               All                   All      0.9914005434724349         0.9999428284681144         -0.0009598826645473846     0.0027396681011845336     
Lambda        AB|SDSS|SDSS_i            6252.9034965879955    All      -0.00035355450471726067    -4.3997132945265215e-05    -0.0007125172370936917     6.903664830298361e-05     
Lambda        AB|SDSS|SDSS_z            7434.181023832494     All      -2.1528393368072434e-05    -7.714407720619912e-07     -2.7083327503719685e-05    5.5526178267103736e-06    
Lambda        AB|SDSS|SDSS_u            3000.9079534665384    All      -7.220066953055298e-05     2.852595335813329e-05      5.855886911279857e-05      3.542318825965462e-05     
Lambda        AB|SDSS|SDSS_g            3946.036857264825     All      -0.0008075717508418741     0.00035858277582121015     -0.0011526366794704962     0.00032841801354254927    
Lambda        AB|SDSS|SDSS_r            5156.290530959104     All      -2.2874531702865938e-05    1.3720208787347453e-05     -0.0014552584826650632     -5.302139141201964e-05    
MWEBV         All|All|All               All                   All      -0.6696481604638009        -3.2049058990846646        0.05438783876873243        -0.8233897735210253       
Redshift      All|All|All               All                   All      5.653195337475921          0.2667791871470371         1.6687369921857653         -1.680064880260402        
