#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4077.74207223564     All      -0.9726619712868526        0.4078159582508789         -0.47299519877735396       0.42855947469225864       
Zeropoint     AB|MEGACAMPSF|i           4979.293699101431    All      1.4635652908814496         0.47625127090800135        0.4419857167279759         -0.3018768654012103       
Zeropoint     AB|MEGACAMPSF|g           3200.797989694349    All      -0.3709789574589526        0.07813264207143789        0.07394352219127864        0.1495901830848846        
Zeropoint     AB|MEGACAMPSF|z           5743.512539866265    All      0.8672127809268625         0.03782417847588704        -0.03680370515030486       -0.2718015342203802       
Check         All|All|All               All                  All      0.9871371430625071         1.0000240497062052         0.006130334991595696       0.004471258155552715      
Lambda        AB|MEGACAMPSF|r           4077.74207223564     All      -0.0005784657976659225     0.0002487012159765679      -0.00023337254836868466    0.00025902116433745295    
Lambda        AB|MEGACAMPSF|i           4979.293699101431    All      -0.00021261930436682552    -0.00014633536137495883    -0.00194932867887576       -6.53987250860301e-05     
Lambda        AB|MEGACAMPSF|g           3200.797989694349    All      -0.0009560309895347518     0.00019295716290939927     8.354901863787574e-05      0.000377991650813531      
Lambda        AB|MEGACAMPSF|z           5743.512539866265    All      -6.91284476046163e-05      1.057491473429992e-07      2.2935291910657474e-05     2.3575352359517717e-05    
MWEBV         All|All|All               All                  All      -0.3534310342456972        -2.2549979237997064        0.08832178361446714        -0.6154615000647645       
Redshift      All|All|All               All                  All      4.073447417750284          0.7072615318755027         4.8458962196756765         -0.8802273953678219       
