#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4077.74207223564     All      -1.1056522383644158        0.39110065142509143        -0.7687925513141902       0.4532339772832128         
Zeropoint     AB|MEGACAMPSF|i           4979.293699101431    All      1.4461114730802644         0.4948620598282716         0.5621159342961368        -0.28476857662977917       
Zeropoint     AB|MEGACAMPSF|g           3200.797989694349    All      -0.34828747905458574       0.08125513605534707        0.0741594023000669        0.14322555479643062        
Zeropoint     AB|MEGACAMPSF|z           5743.512539866265    All      1.0168080294509385         0.0554232157124801         0.22119402990797843       -0.30328378880816464       
Check         All|All|All               All                  All      1.0089797851122013         1.0226410630211902         0.08867681518999193       0.008407166641699604       
Lambda        AB|MEGACAMPSF|r           4077.74207223564     All      -0.00033563469286593945    0.00016343668999666127     -4.911561367879157e-06    0.00016234478793329034     
Lambda        AB|MEGACAMPSF|i           4979.293699101431    All      -0.0003832192074991878     -0.00018975798602498397    -0.001909369337683426     -2.2189699605350333e-05    
Lambda        AB|MEGACAMPSF|g           3200.797989694349    All      -0.0006123963065758713     0.00012979076610875206     0.00011395778482938917    0.0002468401593505699      
Lambda        AB|MEGACAMPSF|z           5743.512539866265    All      -0.00017829760388745703    -1.9270979184064467e-06    5.333853073093595e-07     5.747347874793224e-05      
MWEBV         All|All|All               All                  All      -0.3260587848435559        -2.252051130115973         0.121976205706531         -0.6219158322770757        
Redshift      All|All|All               All                  All      3.547057074524165          1.2817065185469545         3.809338674465179         -0.5679059145197007        
