#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6135.003361283861    All      1.1616606751316902        -0.08815123780729905      -0.3606373274290226        -0.4231984452106728        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4739.455618423857    All      -0.33186618072231633      0.39838362602599986       -0.0391649160951036        0.2361186362355984         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4338.546494772126    All      -0.5388507719922252       0.3791742689045918        0.0829359550078197         0.3027320087077812         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5299.883648889051    All      0.4861161949686092        0.27700478035157516       0.11713549322522934        -0.0628872482231849        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3545.564904643329    All      -0.2106472532880412       0.11935488051690868       -0.025472213405765293      0.10635584383334204        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7500.98101518487     All      0.4289220775978242        -0.08701866322180507      0.23031470944673177        -0.15778098554574171       
Check         All|All|All                              All                  All      0.9953347416955409        0.9987476547699714        0.005111700749889314       0.0013398097971222545      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6135.003361283861    All      7.541015443837567e-05     1.209691598882209e-05     0.0002861662061358003      -7.852921240699984e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4739.455618423857    All      -0.0002671331993362804    0.0003207514554485045     -6.281961769697906e-06     0.00019121303779229197     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4338.546494772126    All      -0.0005047288499358779    0.0003535608576224222     0.00012118044096491034     0.000284980921163027       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5299.883648889051    All      0.0003532319630131286     0.00027686625919253285    -0.0008919778362968691     -6.467969621930517e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3545.564904643329    All      -0.0006307756680003473    0.0003593782167229495     -0.00013463130311957132    0.0003165177186305914      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7500.98101518487     All      4.453963799799863e-08     -5.147654394910169e-05    -0.0002003415220182975     -2.5722433909969528e-05    
MWEBV         All|All|All                              All                  All      -0.9709490611132354       -3.9818649214703683       0.031684579449850855       -0.9793404146490239        
Redshift      All|All|All                              All                  All      7.335261442159199         -4.2638783450993145       -0.2182531590451182        -3.787961065162116         
