#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6135.003361283861    All      0.6471827341402168         -0.18514353987795218      -3.155265431898857        -0.4119210547844666        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4739.455618423857    All      -0.10947586411266896       0.3848409473954817        1.3104837490618637        0.21949611893473162        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4338.546494772126    All      -0.5435440400453327        0.39900859723136506       0.07983633731190043       0.31058313208092125        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5299.883648889051    All      0.3969356975790641         0.3378291947832679        -0.3744329557609838       -0.03596215561402311       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3545.564904643329    All      -0.16921975665455571       0.09627783439203341       0.0012264353938640227     0.08653603019398974        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7500.98101518487     All      0.7939550046021776         -0.02511762855954558      2.2719497315784487        -0.16541222147735365       
Check         All|All|All                              All                  All      1.015833775508901          1.0076954053646503        0.13379786568623597       0.003319849333799224       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6135.003361283861    All      -0.00015773796633905367    -4.942689937679763e-05    -0.0008883825660190815    -4.363955890018939e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4739.455618423857    All      -0.00014359787818287616    0.0003113718948858195     0.0006866590235529448     0.00017884106165975543     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4338.546494772126    All      -0.00044918556636726635    0.0003402422478173288     0.00017486105027263589    0.0002649458560494939      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5299.883648889051    All      -0.00032423354459125116    0.00014632073825393636    -0.0038414375552807225    -1.8150704308883246e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3545.564904643329    All      -0.0012707834812081134     0.00040453242775310397    -0.002749805888378115     0.0004229943004082787      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7500.98101518487     All      -8.394454685639256e-05     -5.733011306134707e-05    -0.0005600787649916478    -1.6324546256941453e-05    
MWEBV         All|All|All                              All                  All      -0.8473613128426201        -3.9847384254343865       0.5502469302695934        -0.9973919489071116        
Redshift      All|All|All                              All                  All      11.350662442211574         -3.6254172021779496       15.361388217062787        -4.192693634740039         
