#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4390.2557291540725    All      -0.5951691147418141       0.5120416977979048         -0.22090902263733891       0.35079683271609235       
Zeropoint     AB|MEGACAMPSF|i           5372.192672732074     All      1.1168339918297054        0.3192919719591458         -0.003541160825415446      -0.2599436999686129       
Zeropoint     AB|MEGACAMPSF|z           6192.458772741996     All      0.8975899470595485        -0.0010451649345100122     0.20950711824567758        -0.2833656797375898       
Zeropoint     AB|MEGACAMPSF|g           3430.850581176885     All      -0.43118591244091287      0.1703110141203723         0.010813757964034387       0.1964099059942534        
Check         All|All|All               All                   All      0.9880689117065268        1.0005995189429129         -0.004129307253042391      0.003897359004143064      
Lambda        AB|MEGACAMPSF|r           4390.2557291540725    All      -0.0003566487655782539    -0.00011498053155544011    -0.001978228240904387      -9.55994624791116e-06     
Lambda        AB|MEGACAMPSF|i           5372.192672732074     All      0.00033422257182713644    8.132975605172964e-07      -0.00130147665790242       -0.0001666812952440556    
Lambda        AB|MEGACAMPSF|z           6192.458772741996     All      -0.0002672347719720104    -8.621683541568022e-06     -0.00030834701717854607    7.047867982963569e-05     
Lambda        AB|MEGACAMPSF|g           3430.850581176885     All      -0.0006525420965061829    0.00021273236826951887     -0.00027723522367206337    0.00026947662512463494    
MWEBV         All|All|All               All                   All      -0.42807071311596623      -2.4783440307071913        0.03596044780708185        -0.6662367219028194       
Redshift      All|All|All               All                   All      1.9246355311303645        0.3303130404917809         1.754426617358762          -0.4410312847102388       
