#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4390.2557291540725    All      -0.5541406560882512       0.5089781587269471         -0.06820810274866501       0.3432489591982512         
Zeropoint     AB|MEGACAMPSF|i           5372.192672732074     All      1.1882247197549856        0.31657695263795915        -0.16087879504425376       -0.2911036358430258        
Zeropoint     AB|MEGACAMPSF|z           6192.458772741996     All      0.8101439209187985        0.002219810641790332       0.2512724012963529         -0.2519543294134879        
Zeropoint     AB|MEGACAMPSF|g           3430.850581176885     All      -0.45438920109169245      0.17232774430944175        -0.022177597969918188      0.20315264315285195        
Check         All|All|All               All                   All      0.9898387834938402        1.0001026663161383         7.90553351596307e-06       0.0033436370945894855      
Lambda        AB|MEGACAMPSF|r           4390.2557291540725    All      -0.0003389313936748097    -0.00011403970874658212    -0.002013763520856244      -1.661039655670289e-05     
Lambda        AB|MEGACAMPSF|i           5372.192672732074     All      0.00028775070015738837    1.670931437733039e-05      -0.0014234075244738058     -0.00015180723668826364    
Lambda        AB|MEGACAMPSF|z           6192.458772741996     All      -0.0002491227775850271    -7.564109578623266e-06     -0.0002470837254344158     6.765739336217877e-05      
Lambda        AB|MEGACAMPSF|g           3430.850581176885     All      -0.0007118914984414089    0.0002459534950989538      -0.00016793692853162652    0.0003045073727464267      
MWEBV         All|All|All               All                   All      -0.4297785338976592       -2.4839939191053872        -0.004158606241626736      -0.66931111213773          
Redshift      All|All|All               All                   All      1.9304824003663672        0.20500446100442105        1.552695450151717          -0.4927552647202479        
