#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          3135.208193516516    All      -0.14667676521062906       0.06404793672718512        0.17465770535025626       0.07643413927387599       
Zeropoint     AB|DECam|DECam_r          4166.924601134514    All      -0.3480609762672367        0.5180265371189208         -0.1434040050082519       0.2757137344299762        
Zeropoint     AB|DECam|DECam_i          5062.292931499547    All      0.5208428041526486         0.2703144320904016         -0.10827896041072371      -0.08643732561515183      
Zeropoint     AB|DECam|DECam_z          5932.262781939222    All      0.9636415512954867         0.14490577792489745        0.06482662960598518       -0.2637962622523027       
Check         All|All|All               All                  All      0.9897466139702694         0.997294683861405          -0.012198630462734172     0.001914285836397689      
Lambda        AB|DECam|DECam_g          3135.208193516516    All      -0.0011352148592565568     0.00038734432327260337     0.0001156142324010494     0.0005011069486541055     
Lambda        AB|DECam|DECam_r          4166.924601134514    All      -0.0005094564863605017     0.00032139216199411147     -0.0011717797684093778    0.00021834358960342947    
Lambda        AB|DECam|DECam_i          5062.292931499547    All      -0.00025317597473749494    -3.3055641392825666e-05    -0.0017549471974213542    -6.614798925751228e-06    
Lambda        AB|DECam|DECam_z          5932.262781939222    All      -7.120278699367276e-05     -3.412565037743096e-05     -4.393271799318714e-05    1.0116727769112433e-05    
MWEBV         All|All|All               All                  All      -0.47787936431680533       -2.2069766449609673        -0.18842727099941392      -0.5716325136062156       
Redshift      All|All|All               All                  All      3.271939859851131          -0.7921961010811884        3.375330532756138         -1.1731972892328106       
