#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_g          3135.208193516516    All      -0.4383352271471994        0.10823880164636535       0.04188120238491772       0.17990610863853373        
Zeropoint     AB|DECam|DECam_r          4166.924601134514    All      -0.22841094271702728       0.48023352010435616       -9.140444771820438e-05    0.23082473629056874        
Zeropoint     AB|DECam|DECam_i          5062.292931499547    All      0.5429814114017852         0.23359990768536676       -0.4706345174641347       -0.1217779910778518        
Zeropoint     AB|DECam|DECam_z          5932.262781939222    All      1.1124979408866995         0.17692027674502953       0.433165957192135         -0.28541821759164415       
Check         All|All|All               All                  All      0.9887331824242581         0.9989925061811178        0.0043212376651998174     0.0035346362596065384      
Lambda        AB|DECam|DECam_g          3135.208193516516    All      -0.001176521567945684      0.00028755493126447903    5.667053107580148e-05     0.00047942682800245856     
Lambda        AB|DECam|DECam_r          4166.924601134514    All      -0.0002355791618348865     0.00024172747887957476    -0.0008090656224456011    0.00011936959297700779     
Lambda        AB|DECam|DECam_i          5062.292931499547    All      -0.0001653546897643061     -5.009086863781009e-05    -0.0012393115435438214    -1.7759563628341214e-05    
Lambda        AB|DECam|DECam_z          5932.262781939222    All      -0.00022450867348585983    -3.558308247755866e-05    -0.0001413499610284652    5.523148089491904e-05      
MWEBV         All|All|All               All                  All      -0.4746738560771031        -2.204721205456295        0.020448735323098145      -0.5626208054201718        
Redshift      All|All|All               All                  All      4.65784833978634           -0.12223628085177296      4.405039972531431         -1.360454118697494         
