#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5746.400131877877     All      1.0811793187599994         0.17148687583166122       -0.6493343327430234        -0.32529356563978257      
Zeropoint     AB|SDSS|SDSS_r            4738.61600507224      All      0.8264667705372606         0.568600487501314         1.8897046089215552         0.0003333056632920037     
Zeropoint     AB|SDSS|SDSS_z            6831.9907446302095    All      0.21669862625849518        0.03991779955718755       0.6074888767751196         -0.03047389269808347      
Zeropoint     AB|SDSS|SDSS_g            3626.396397986125     All      -1.1285033479011848        0.21727565711273655       -1.8543577477259376        0.3556130272232795        
Check         All|All|All               All                   All      0.9958413676545704         0.9972808200028993        -0.006498594772286204      0.00017887454870540997    
Lambda        AB|SDSS|SDSS_i            5746.400131877877     All      -0.0006482782639124305     -0.0001582797623219945    -0.0016641999933262892     8.534303013183531e-05     
Lambda        AB|SDSS|SDSS_r            4738.61600507224      All      -0.0001948783683330123     -4.098913772270143e-05    -0.00046299255058629483    2.9465554130289407e-05    
Lambda        AB|SDSS|SDSS_z            6831.9907446302095    All      -0.00011444381976515156    -2.275609975086915e-05    -0.00031126798652489053    1.5975246208590356e-05    
Lambda        AB|SDSS|SDSS_g            3626.396397986125     All      -0.001635188655234578      0.0005819441158796267     0.00045822559453511275     0.0007426415887835555     
MWEBV         All|All|All               All                   All      -0.5912607351364394        -2.847531155374483        -0.19500387578183787       -0.7436436323192689       
Redshift      All|All|All               All                   All      6.775931624653936          -0.5698912001008694       -5.0540545034739095        -2.618315404472551        
