#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3522.871978857477     All      -0.2989854469371389       0.08625682359841846       0.249460731599771          0.1366183683272723         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7641.97915805119      All      0.19460599157044736       -0.1108017124579419       0.2766170440250515         -0.0871371885983574        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5221.537768566787     All      0.8392310455073316        1.0527827640679277        0.3767839915528426         0.08637495941476725        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4239.2902238057795    All      -0.8080012483531612       0.2509478822323885        -0.8446465480373311        0.30724187410567927        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6338.689127001276     All      1.0639731494153302        -0.29736434398381917      -0.04768380667740102       -0.4455603175615483        
Check         All|All|All                                     All                   All      0.9908234912028091        0.9818214134569736        0.010531412462932987       -0.002462304312186858      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3522.871978857477     All      -0.0007642857158847909    0.00024029317075005454    0.0005921715403259417      0.0003536502891399021      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7641.97915805119      All      -6.992162114941083e-05    5.07855522284677e-05      -0.00013410840345958936    3.33336554084413e-05       
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5221.537768566787     All      0.00011005330183112906    0.0002909660231828595     -0.0023450245806545165     -4.5718451530273097e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4239.2902238057795    All      -0.0004908620179172018    6.458009611527635e-05     -0.001103177312134002      0.00013169603331274264     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6338.689127001276     All      -0.0003421190770537988    0.00014971645868038796    -0.0007694350561685755     0.00012587066222771723     
MWEBV         All|All|All                                     All                   All      -1.0160310710394547       -3.888221549097093        0.21079667446262107        -0.9261600435362407        
Redshift      All|All|All                                     All                   All      8.904677867761944         -1.596134588625997        15.932447229281177         -2.709468138754534         
