#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3522.871978857477     All      -0.3069027117911386       0.1061987901382011        0.18494142988867895        0.1428138364247846        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7641.97915805119      All      0.21165022344309925       -0.23232875588563573      0.23791919071865855        -0.13400131928347842      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5221.537768566787     All      0.8758824704734297        1.5703184898869793        -0.06004065335662773       0.2235213191868702        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4239.2902238057795    All      -0.8203415866718795       0.009395753565044629      -0.4680018122111062        0.2493879778384373        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6338.689127001276     All      1.0298095568869854        -0.4836986176117719       0.09381564760631136        -0.48881284390120283      
Check         All|All|All                                     All                   All      0.9900979523404964        0.9698856600928174        -0.011366197354085034      -0.007091029734589138     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3522.871978857477     All      -0.0007753365904818988    0.00023189718834599812    0.00035225258830808183     0.0003438085939498711     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7641.97915805119      All      -6.210341612600843e-05    8.182902991441471e-05     -0.00013783620774200387    4.073253601946861e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5221.537768566787     All      0.0001969391749609203     0.0005803525257422963     -0.0020987490196469633     3.1232812732814976e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4239.2902238057795    All      -0.0005634990838085552    -9.94843108038558e-05     -0.0008878047278931788     0.00011152622973398503    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6338.689127001276     All      -0.0003155107616184888    0.00016839018017704286    -0.0006652382591085255     0.00012793592843572107    
MWEBV         All|All|All                                     All                   All      -1.0067189247184527       -3.905589411195187        0.1281289579381019         -0.9385396805339462       
Redshift      All|All|All                                     All                   All      8.9618175422447           -1.6480272556128384       12.964991081849828         -2.8774074982554114       
