#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|NB99|NB99_b12    4147.90177790944     All      -0.13880346464569485       -0.013704340940190463      -0.7884882282711052        0.005562291997512365       
Zeropoint     Linear_AB11_off|NB99|NB99_r10    6904.574537366673    All      0.5604468286749693         -0.04208872484205983       -0.09444415990488347       -0.20048026170162808       
Zeropoint     Linear_AB11_off|NB99|NB99_v1     5160.857893867354    All      0.17444617334347146        0.07689994875761386        0.5334730411464746         -0.007967562849768907      
Zeropoint     Linear_AB11_off|NB99|NB99_r1     6142.814805998718    All      0.2898007393513055         -0.011155671538176648      0.22087904194286215        -0.08817458701736483       
Zeropoint     Linear_AB11_off|NB99|NB99_b10    4143.874381566734    All      -0.42200183678384173       0.5737877329655916         2.0668576426158576         0.41659578722729834        
Zeropoint     Linear_AB11_off|NB99|NB99_r8     6015.832044003138    All      0.09097540416649255        0.0015684931955917136      0.052087523680216255       -0.026798345350720267      
Zeropoint     Linear_AB11_off|NB99|NB99_i10    7417.402646040298    All      0.4024183791971477         -0.0015383900990428856     0.6171849211412888         -0.10403988114001109       
Zeropoint     Linear_AB11_off|NB99|NB99_b1     3995.51095555053     All      -0.21482645499709524       0.09087483502199234        -0.147541821546006         0.09299285357240546        
Zeropoint     Linear_AB11_off|NB99|NB99_v6     5159.186601309038    All      0.01848106342600543        -0.02419230366061953       -0.6030352229101141        -0.0408108119300686        
Zeropoint     Linear_AB11_off|NB99|NB99_v8     5051.612792184444    All      -0.0003321061867905457     -0.0007550168804826285     -0.015155965530823943      -0.000814097059092822      
Zeropoint     Linear_AB11_off|NB99|NB99_i1     7465.701893124097    All      0.10802503067074813        -0.012109409112159852      0.10621782945430774        -0.03439172545526639       
Zeropoint     Linear_AB11_off|NB99|NB99_b8     4102.494594869394    All      -0.023958877848554633      -5.9438321997618004e-05    -0.10799832878357854       0.0029653643267774435      
Zeropoint     Linear_AB11_off|NB99|NB99_b6     4132.835576786589    All      -0.1301365779767925        -0.012783589224429903      -0.7158267899773079        0.006281667272140532       
Zeropoint     Linear_AB11_off|NB99|NB99_v10    5078.601185741707    All      0.24865665608712664        0.35736773796903876        0.5059772659471188         0.05799021736699264        
Zeropoint     Linear_AB11_off|NB99|NB99_i8     7749.109049764614    All      0.0617502419810875         -0.01481198765223013       -0.08092353239921059       -0.028550082596745758      
Zeropoint     Linear_AB11_off|NB99|NB99_r16    5665.332518351363    All      -0.02780473956306659       0.02775459561217275        -1.5415439992907194        -0.05069452531843298       
Check         All|All|All                      All                  All      0.997136458896518          0.9950544712506115         0.007719217314377191       -0.00033369865597292214    
Lambda        Linear_AB11_off|NB99|NB99_b12    4147.90177790944     All      -0.0001456118737887455     -1.4894557365346139e-05    -0.0008359438484400903     5.274595826419199e-06      
