#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|NB99|NB99_b12    4147.90177790944     All      -0.13819937454968          -0.004759889746530632      -0.6575853335857862        0.014120616971301844       
Zeropoint     Linear_AB11_off|NB99|NB99_r10    6904.574537366673    All      0.5778460901248742         -0.06335695830745891       -0.30521755443286835       -0.22248138546893684       
Zeropoint     Linear_AB11_off|NB99|NB99_v1     5160.857893867354    All      0.18640145163993826        0.08060716220974484        0.5736419671406812         -0.008861674244925108      
Zeropoint     Linear_AB11_off|NB99|NB99_r1     6142.814805998718    All      0.31544311451210905        -0.018575640636875335      0.2718278936574725         -0.09667046700909142       
Zeropoint     Linear_AB11_off|NB99|NB99_b10    4143.874381566734    All      -0.40518353519759387       0.5927093866980648         2.3459856284262615         0.4297371182378035         
Zeropoint     Linear_AB11_off|NB99|NB99_r8     6015.832044003138    All      0.08814324163093999        0.0012203153147538615      0.056012812045180826       -0.0258140622364809        
Zeropoint     Linear_AB11_off|NB99|NB99_i10    7417.402646040298    All      0.4331505862457419         0.002541413515722013       0.8077107082749557         -0.10421915494995145       
Zeropoint     Linear_AB11_off|NB99|NB99_b1     3995.51095555053     All      -0.23491828184614108       0.08559751958330253        -0.19848192446837443       0.09554520448771216        
Zeropoint     Linear_AB11_off|NB99|NB99_v6     5159.186601309038    All      -0.00032671233499262375    -0.026350264597141404      -0.7401850916432529        -0.041507788214095905      
Zeropoint     Linear_AB11_off|NB99|NB99_v8     5051.612792184444    All      -0.0007495328565469981     -0.0007145411988318529     -0.01686869509813782       -0.0007413744530064287     
Zeropoint     Linear_AB11_off|NB99|NB99_i1     7465.701893124097    All      0.08515074155744978        -0.010047023997916682      0.11507897682955237        -0.0258735979575628        
Zeropoint     Linear_AB11_off|NB99|NB99_b8     4102.494594869394    All      -0.029694254745646097      0.001181136928352089       -0.10932729273386288       0.005178355885817254       
Zeropoint     Linear_AB11_off|NB99|NB99_b6     4132.835576786589    All      -0.15043810540017546       -0.004783468040514549      -0.684999155207433         0.016876141073694652       
Zeropoint     Linear_AB11_off|NB99|NB99_v10    5078.601185741707    All      0.255250696032438          0.3268227281184366         0.3904549102956234         0.040737574852279815       
Zeropoint     Linear_AB11_off|NB99|NB99_i8     7749.109049764614    All      0.029749388560956692       -0.007785254538639208      -0.06765904510240839       -0.015245580546783665      
Zeropoint     Linear_AB11_off|NB99|NB99_r16    5665.332518351363    All      -0.017046965051457752      0.04061682852967152        -1.7814582094839326        -0.06071530329582069       
Check         All|All|All                      All                  All      0.9945785483222139         0.9949234498341397         -0.0010694050863291338     6.462313195398223e-05      
Lambda        Linear_AB11_off|NB99|NB99_b12    4147.90177790944     All      -0.000126590558020191      -1.130825540232368e-06     -0.0005479487122549703     1.641392798079078e-05      
Lambda        Linear_AB11_off|NB99|NB99_r10    6904.574537366673    All      -0.00022315965745265304    -1.2499029398131717e-05    -0.00038483624304770593    5.1445623047878047e-05     
Lambda        Linear_AB11_off|NB99|NB99_v1     5160.857893867354    All      4.1052214917410257e-05     1.6450823453517467e-05     9.50245089443124e-05       -3.7729751591276838e-06    
Lambda        Linear_AB11_off|NB99|NB99_r1     6142.814805998718    All      -0.00010542610098920999    8.02525098022658e-06       -8.427663074616845e-05     3.319395881342394e-05      
Lambda        Linear_AB11_off|NB99|NB99_b10    4143.874381566734    All      -0.00019967075454533728    0.00024086122256156785     0.0008009613417326879      0.00017923898401442457     
Lambda        Linear_AB11_off|NB99|NB99_r8     6015.832044003138    All      -2.028068190762405e-05     -1.4413649330551817e-06    5.041405901920496e-06      6.3615601247986885e-06     
Lambda        Linear_AB11_off|NB99|NB99_i10    7417.402646040298    All      -0.00012993664410971707    -4.443721309472721e-07     -0.00025037921250760354    3.100661884860851e-05      
Lambda        Linear_AB11_off|NB99|NB99_b1     3995.51095555053     All      -0.00022588566646273873    7.734989758644502e-05      -0.00021533124308620075    8.916455496624568e-05      
Lambda        Linear_AB11_off|NB99|NB99_v6     5159.186601309038    All      1.8918238132596728e-05     -1.2576563338317783e-05    -0.00035541500583001115    -2.611943233538308e-05     
Lambda        Linear_AB11_off|NB99|NB99_v8     5051.612792184444    All      1.1722536622022008e-06     -1.0543504021289297e-06    -1.9221954012287826e-05    -1.583065721177382e-06     
Lambda        Linear_AB11_off|NB99|NB99_i1     7465.701893124097    All      -4.031678422915024e-05     3.3429784384492323e-06     -7.066975440167374e-05     1.106775449985999e-05      
Lambda        Linear_AB11_off|NB99|NB99_b8     4102.494594869394    All      -2.970201507832512e-05     -7.872376003910595e-07     -0.0001503969257670951     2.706970243596752e-06      
Lambda        Linear_AB11_off|NB99|NB99_b6     4132.835576786589    All      -0.00013246742138233445    -3.5734213874628143e-06    -0.0005921149359258127     1.5561646180141793e-05     
Lambda        Linear_AB11_off|NB99|NB99_v10    5078.601185741707    All      2.6723843102319412e-05     -1.0816893848179895e-05    -0.000979913158483258      -5.595727676309632e-05     
Lambda        Linear_AB11_off|NB99|NB99_i8     7749.109049764614    All      6.750447016445401e-06      -2.816746994643867e-06     -1.9757075196251553e-05    -3.998017365790141e-06     
