#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           3325.2701276521943    All      -1.484062474824242        -0.07693859698250094       0.21708837441027917        0.46803419711268707        
Zeropoint     AB|MEGACAMPSF|z           4688.591901616606     All      0.9655011151779168        0.24348441164541157        -0.17021735763762535       -0.24278061287585015       
Zeropoint     AB|MEGACAMPSF|i           4067.1995000397646    All      1.5179027365687152        0.832647110393836          -0.04726823237897193       -0.22531966580156304       
Check         All|All|All               All                   All      0.9993413769223902        0.9991929250567466         -0.00039721560631811315    -6.608156472612259e-05     
Lambda        AB|MEGACAMPSF|r           3325.2701276521943    All      -0.0035226578911046564    -0.00019989898048811992    -0.0006646516514878957     0.0010526715421376857      
Lambda        AB|MEGACAMPSF|z           4688.591901616606     All      -8.793223475448938e-05    -2.961491217100195e-05     -0.00045903237637484606    -1.4886361497936438e-06    
Lambda        AB|MEGACAMPSF|i           4067.1995000397646    All      0.0008481225777560233     0.0004291756690940665      0.0004189697747493656      -0.00011776809430661035    
MWEBV         All|All|All               All                   All      -0.4926773253299763       -1.693145282094477         -0.020610531485187877      -0.39195166110031643       
Redshift      All|All|All               All                   All      1.311561891880414         -0.5885215672360999        -4.886591787799999         -0.8369858417085062        
