#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7406.417736960829     All      0.5045852443087211         -0.10183007916459985      0.3148226798353162         -0.18348033105403347      
Zeropoint     AB|CNIa02|SDSS_r                      6107.505363909344     All      1.156648582665666          -0.1516034980331149       0.003749863237013932       -0.4259734037248567       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4329.7377772344835    All      -1.0730989146244436        0.7577147979692889        0.0493885988143086         0.5985602445053071        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5416.729750971645     All      0.40904097480003726        0.4943635645281219        -0.366200048573261         0.011450548232426028      
Check         All|All|All                           All                   All      0.9971758871499811         0.998644785299696         0.0017610933133777595      0.0005570579588429214     
Lambda        AB|CNIa02|SDSS_i                      7406.417736960829     All      -5.027488238277588e-05     -7.103628356460535e-06    -0.00016524415740417503    6.688209922457124e-06     
Lambda        AB|CNIa02|SDSS_r                      6107.505363909344     All      -2.9916666623332764e-05    -2.458467587537564e-05    -0.00021677537960527034    -7.936884774581404e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4329.7377772344835    All      -0.00046047260671016823    0.00015704655894117843    -0.0009570935702828068     0.00015843561775980526    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5416.729750971645     All      2.957582341044123e-05      -6.755592443368326e-05    -0.0013062493584659544     -8.993091529444961e-05    
MWEBV         All|All|All                           All                   All      -0.88441717352026          -4.045865668781268        0.06024811583390337        -1.0270991867725614       
Redshift      All|All|All                           All                   All      4.651339804010505          -0.6115441688079315       2.171914462703955          -1.6173718864586302       
