#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7406.417736960829     All      0.5614289757288182         -0.08691943480716446       0.5872364197830882         -0.1849827430051139        
Zeropoint     AB|CNIa02|SDSS_r                      6107.505363909344     All      1.1234324593915088         -0.14633113340778436       0.03981510737700589        -0.4118270107780597        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4329.7377772344835    All      -1.1027818500583288        0.8112315171302953         0.4130565783587725         0.6418899408546501         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5416.729750971645     All      0.41557772914547825        0.42078212385590064        -1.0367655316410485        -0.044570841408599765      
Check         All|All|All                           All                   All      0.9976573142074764         0.9987630727712471         0.0033425738778181113      0.0005093456628767756      
Lambda        AB|CNIa02|SDSS_i                      7406.417736960829     All      -0.00010581839671449557    -5.288051216017399e-06     -0.00029445124547632323    1.960603415902993e-05      
Lambda        AB|CNIa02|SDSS_r                      6107.505363909344     All      -0.00021635725089878683    -2.8293960394315634e-06    -0.00039840362108594946    5.177412337803915e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4329.7377772344835    All      -0.00037767851510447855    9.375657936401529e-05      -0.0009193572591456698     0.00011253522800180361     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5416.729750971645     All      5.073630794617085e-05      -0.0001073733379680689     -0.0013429150010548765     -0.00011142964203868335    
MWEBV         All|All|All                           All                   All      -0.8780527325128169        -4.042033460786332         0.09819596277078624        -1.0262305802520904        
Redshift      All|All|All                           All                   All      4.925168345881382          -0.13236613992244628       2.391028221241198          -1.5407047620500929        
