#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4286.317302243844    All      -0.9659393497032637       0.7054644895660545        0.7547123226954611         0.5781105626966112         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7674.493637269082    All      0.48421752232206283       -0.09065902721205887      0.8978238436164965         -0.1471904504751341        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6397.074489345806    All      1.2657520522035854        -0.0893776911311761       0.10238531827000408        -0.4368413533328244        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5262.637259685295    All      0.21233384853570503       0.4702777141201153        -1.753382947418114         0.0057753751752862015      
Check         All|All|All                                      All                  All      0.9963640733580896        0.9957054853429348        0.0015385371638476641      -0.0001458659360611403     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4286.317302243844    All      -0.0003815857279389923    0.00020603501207714313    -0.0002668493005622628     0.0001794991484817933      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7674.493637269082    All      -0.0001004256895077153    1.976607735218618e-05     -0.0002120899559098921     2.968581201962419e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6397.074489345806    All      -0.0003148331423997644    1.8622829513679902e-05    -0.00028721233425756283    9.580061306845543e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5262.637259685295    All      -0.0001712336818022269    7.338323389842093e-05     -0.0022474360449733378     -2.0612971485569865e-05    
MWEBV         All|All|All                                      All                  All      -0.7886443939604373       -3.969244372734515        0.18962324851168333        -1.0275640370449437        
Redshift      All|All|All                                      All                  All      5.634701677330584         0.008328842816407445      7.219412034507             -1.51052553282955          
