#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4286.317302243844    All      -0.8956434581888142        0.67704519341234          0.8123017131714468         0.54852572843832           
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7674.493637269082    All      0.5730545714731684         -0.11373835284675948      1.128175878923028          -0.1733657423151378        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6397.074489345806    All      1.23689839896552           -0.11236152441949088      -0.2918906835554012        -0.4525240869811403        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5262.637259685295    All      0.08021615034258836        0.5458591348988406        -1.667493978028714         0.07726264155254674        
Check         All|All|All                                      All                  All      0.9945256625924624         0.9968044510449303        -0.01890706948964027       -0.00010145930541134718    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4286.317302243844    All      -0.00037005073568069634    0.00020050836274929811    -0.0002529522529015237     0.00017456177191611913     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7674.493637269082    All      -8.762131903841662e-05     1.986504123011737e-05     -0.00017564628365992796    2.7173556810138066e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6397.074489345806    All      -0.00038337416639505715    1.5888841687439358e-05    -0.0005945720207802594     0.00010352007857837166     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5262.637259685295    All      -0.00020788369234153327    0.00011352074823749284    -0.002311208664059904      1.5533725090616294e-06     
MWEBV         All|All|All                                      All                  All      -0.7794662795167744        -3.971641934130865        0.2078267220569643         -1.0305222780756635        
Redshift      All|All|All                                      All                  All      5.335143345961736          -0.061241466643657816     7.184873371212761          -1.4371521696251617        
