#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5240.861996560219    All      -0.7999731147073701        1.40527615586592           0.8313499675779212        0.7554215687724644        
Zeropoint     AB|PS|PS_g                4126.88358569758     All      -0.45216606144049476       0.2383695258753704         -0.7727574076989541       0.19044554477560538       
Zeropoint     AB|PS|PS_z                7295.192857619253    All      0.9378483296237035         -0.25704574291793847       0.9013848732997154        -0.3489916432897658       
Zeropoint     AB|PS|PS_i                6347.818926436684    All      1.2508204691719518         -0.36816926201250766       -0.9815769513922046       -0.5711614897476194       
Check         All|All|All               All                  All      0.9365296226477902         1.0184306768108442         -0.021599518213522018     0.02571398051068452       
Lambda        AB|PS|PS_r                5240.861996560219    All      -0.00031597088823081686    8.535919849367558e-05      -0.0020702055048865795    3.834264904072672e-05     
Lambda        AB|PS|PS_g                4126.88358569758     All      -0.0003168860090616738     0.00014563556920220994     -0.0006142943976401738    0.00012324535693393482    
Lambda        AB|PS|PS_z                7295.192857619253    All      0.00016429849591273582     -3.7833593670086095e-05    9.837308948907059e-05     -6.145113235270985e-05    
Lambda        AB|PS|PS_i                6347.818926436684    All      1.4585909798993152e-05     -0.00013519305657931058    -0.0008976217689084184    -8.884467384975801e-05    
MWEBV         All|All|All               All                  All      -0.5171531554714441        -3.312580158951306         0.08937470795631342       -0.9065741591172141       
Redshift      All|All|All               All                  All      1.9861057056888867         2.5697707148648163         0.9910709082128655        0.2343458383065447        
