#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5240.861996560219    All      -0.15281320516309593       0.9456655449406881         1.8951439909775525         0.442382240022055          
Zeropoint     AB|PS|PS_g                4126.88358569758     All      -0.6483167135891181        0.42880538268637025        -0.8979006336694569        0.31078492164911165        
Zeropoint     AB|PS|PS_z                7295.192857619253    All      0.6165642737486389         -0.15175772520148456       0.13071483213944204        -0.24443454949414328       
Zeropoint     AB|PS|PS_i                6347.818926436684    All      1.1794563211256528         -0.22506702035425263       -1.1396271033149137        -0.5083557832684198        
Check         All|All|All               All                  All      0.9948906761220779         0.9976461820713212         -0.011668913867376007      0.00037682890860346596     
Lambda        AB|PS|PS_r                5240.861996560219    All      -7.088610651505024e-05     0.0001297319623418422      -0.00033898817655902963    5.022041976166299e-05      
Lambda        AB|PS|PS_g                4126.88358569758     All      -0.0006428750045396696     0.0003295910454925015      -0.0014776259974143933     0.0002508245239043646      
Lambda        AB|PS|PS_z                7295.192857619253    All      -0.00014250712603313472    6.103493784881485e-05      0.00015035514766858222     7.301000622558479e-05      
Lambda        AB|PS|PS_i                6347.818926436684    All      -0.00028697474852377037    -0.00014077295221573305    -0.0011085880212610788     -1.8484568745050296e-06    
MWEBV         All|All|All               All                  All      -0.5278072050613205        -3.3101975557283225        0.07265948828094933        -0.9030736158868118        
Redshift      All|All|All               All                  All      6.751313243252436          -0.2054921481201788        4.371791907492899          -2.07096739415182          
