#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_r          4491.533529409134    All      -0.07031387726448557       0.6181967678678291         0.7493991626376054        0.2577128112096634         
Zeropoint     AB|DECam|DECam_z          6394.393885382854    All      0.8491802863637747         0.026133611993550687       -0.2914042322459999       -0.28109741178759806       
Zeropoint     AB|DECam|DECam_i          5456.652234919352    All      0.7511566309810621         0.19791396649448956        -0.048571026707420376     -0.1823768388096056        
Zeropoint     AB|DECam|DECam_g          3379.445051399213    All      -0.5383391484333141        0.157300048435971          -0.4065428009180648       0.2084504342487004         
Check         All|All|All               All                  All      0.9916838916470372         0.9995443947918403         0.0028811027661204136     0.0026889948611601433      
Lambda        AB|DECam|DECam_r          4491.533529409134    All      -0.000256044207866565      -0.00020125312263684166    -0.001574278389780935     -5.240555510432077e-05     
Lambda        AB|DECam|DECam_z          6394.393885382854    All      -0.00017230140385135685    -4.8924833128577534e-05    -0.0004976108712057275    1.798172031517741e-05      
Lambda        AB|DECam|DECam_i          5456.652234919352    All      9.022767584726891e-05      1.0358208870375234e-05     -0.0007597075501331651    -5.9918371773660364e-05    
Lambda        AB|DECam|DECam_g          3379.445051399213    All      -0.0010047878338724611     0.0002534559485649971      -0.0011068932700096692    0.0003604558320671445      
MWEBV         All|All|All               All                  All      -0.48493041380616253       -2.4811691735393993        -0.11232844276025629      -0.6552533408441017        
Redshift      All|All|All               All                  All      3.571750752632342          1.0451528650087027         0.10759569325566641       -0.8181945529796786        
