#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4480.799614502556     All      -0.9104505233190059        1.0429683163238224        0.3915770306521571         0.6537670660723693        
Zeropoint     AB|SDSS|SDSS_u            3407.5878374767312    All      -0.01769922672188463       0.013427670429599914      -0.0109530040255712        0.00965027218240433       
Zeropoint     AB|SDSS|SDSS_r            5855.065590897538     All      0.5292121881983904         0.1993650236725486        -1.5981987510164997        -0.17876234313195516      
Zeropoint     AB|SDSS|SDSS_i            7100.290390205253     All      1.0121631965053075         -0.1267285055264189       1.0802771511009945         -0.32276668805566455      
Zeropoint     AB|SDSS|SDSS_z            8441.653403313689     All      0.37289573803876763        -0.14473869231750314      0.016323282686969698       -0.16788213049777068      
Check         All|All|All               All                   All      0.9861213727015751         0.9842938125820488        -0.12097429060194953       -0.005993823430616718     
Lambda        AB|SDSS|SDSS_g            4480.799614502556     All      -0.0010042718012281393     0.0009360803052176268     -0.0005880001893253314     0.0006057967688951778     
Lambda        AB|SDSS|SDSS_u            3407.5878374767312    All      -1.4459439809487849e-05    4.398840900822637e-06     -2.7627219406545946e-05    4.909886531470258e-06     
Lambda        AB|SDSS|SDSS_r            5855.065590897538     All      0.00021757144406722105     4.6743819557189694e-05    -0.0006021604730305292     -8.251583365316412e-05    
Lambda        AB|SDSS|SDSS_i            7100.290390205253     All      -0.00027690808298352703    -7.458540535672807e-06    -0.000557731209544737      6.287959828671832e-05     
Lambda        AB|SDSS|SDSS_z            8441.653403313689     All      1.1924953322956597e-05     1.0411192046215638e-05    8.827812701173531e-05      3.4463655126601893e-06    
MWEBV         All|All|All               All                   All      -0.6399483913794697        -3.9233146632138727       0.04664054867156153        -1.0674190608033873       
Redshift      All|All|All               All                   All      5.2376980821286665         -3.9342003525820957       2.4151372039494134         -2.8798125855927337       
