#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4480.799614502556     All      -0.5571823930657337        0.6186536882616167         -0.4841921609815624       0.3614012232159206        
Zeropoint     AB|SDSS|SDSS_u            3407.5878374767312    All      -0.21398883368451796       0.17422668507478534        0.25294581894160845       0.13774237653234647       
Zeropoint     AB|SDSS|SDSS_r            5855.065590897538     All      0.9600101291238117         0.18585257269876365        -0.46227563321902104      -0.2727978235101153       
Zeropoint     AB|SDSS|SDSS_i            7100.290390205253     All      0.6067157891227062         0.03046804380186785        0.5890426113250986        -0.16141658227013025      
Zeropoint     AB|SDSS|SDSS_z            8441.653403313689     All      0.19910977297585433        -0.008733561336171647      0.1121687812934446        -0.06269583429147364      
Check         All|All|All               All                   All      0.9946644644721208         1.000467428500862          0.00768941735956824       0.0022333596765478775     
Lambda        AB|SDSS|SDSS_g            4480.799614502556     All      -0.00031937906301755467    -1.7210454579932015e-05    -0.0017459501423457582    2.0512520826141278e-05    
Lambda        AB|SDSS|SDSS_u            3407.5878374767312    All      -0.000147419784911354      0.00010228812713340621     0.00012314975405653604    8.683369001645135e-05     
Lambda        AB|SDSS|SDSS_r            5855.065590897538     All      -0.0002480513273421901     -3.4499322993330645e-05    8.794334608666947e-06     6.995336423135075e-05     
Lambda        AB|SDSS|SDSS_i            7100.290390205253     All      -0.0003150233268924258     -2.7332841097268946e-05    -0.000494312309852259     7.165136786495028e-05     
Lambda        AB|SDSS|SDSS_z            8441.653403313689     All      6.54928866222159e-06       4.5197170011588307e-07     3.0692212009276315e-05    -6.164442725846422e-07    
MWEBV         All|All|All               All                   All      -0.9027901657186459        -3.7008955099070207        0.321442750263219         -0.8970904519225779       
Redshift      All|All|All               All                   All      6.080602290707748          0.8669340839801976         3.261456685070932         -1.5527194269944085       
