#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6169.0608492880565    All      1.289957653373611          -0.1705687801378808       -0.868875620511772         -0.5145154376291872       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7643.606568996327     All      0.45037379923875837        -0.12791329041874633      0.5610937839807817         -0.16332809161307416      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5218.658599361463     All      0.22642458999759807        0.7107966030605262        0.16120976016730237        0.16496995120711677       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4315.0538314818       All      -0.9716360156492679        0.5942218324131332        0.09135189112595699        0.5141280316438623        
Check         All|All|All                       All                   All      0.9951200269606995         1.0065363649170322        -0.05522018523773098       0.001254453608717787      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6169.0608492880565    All      -0.00032697855463410065    9.915262053813263e-05     -0.0012825856828051151     8.156903473222558e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7643.606568996327     All      -0.00015252462853727037    4.777652691852299e-05     -0.00028407949780821773    5.2567512786992684e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5218.658599361463     All      -1.5482685204136525e-05    0.0003724191753179476     -0.00024190330295548976    0.00011555736417497786    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4315.0538314818       All      -0.0005961210252050974     0.00028543454477463414    -0.00015796866960107763    0.000280102235258757      
MWEBV         All|All|All                       All                   All      -0.7779177163726398        -3.975246940341126        0.1347175866611816         -1.035463490096386        
Redshift      All|All|All                       All                   All      6.479821316520177          -2.6798618500170512       9.251097861134816          -2.570776143179726        
