#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6169.0608492880565    All      1.356708183739682          -0.18784139450849224      -0.6028910717832738        -0.5300148713623722       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7643.606568996327     All      0.4582492325375758         -0.15203644279706552      0.4557333935749985         -0.1784528340113572       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5218.658599361463     All      0.29810320738874313        0.7222779743952579        0.15085553492904663        0.14489966621882544       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4315.0538314818       All      -1.1152666020679458        0.6133301930002055        -0.005221657144229066      0.562827826722929         
Check         All|All|All                       All                   All      0.9977940215980551         0.9957303300899056        -0.001523800423457791      -0.0007402124319749737    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6169.0608492880565    All      -0.0004109107280134961     0.00011314399712419675    -0.0009083034142717787     0.00013016845517343947    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7643.606568996327     All      -0.00015255194558729245    5.503940849712677e-05     -0.00021705750341347396    5.793305410969814e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5218.658599361463     All      9.87767335437791e-05       0.00023805204469824705    -0.00017192490956297437    3.769433177340081e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4315.0538314818       All      -0.0005400628929400479     0.00014833435992673682    -0.00034281241278090387    0.00020893548935368108    
MWEBV         All|All|All                       All                   All      -0.7926351769564097        -3.9671847917664316       0.06764825297523211        -1.031036418290689        
Redshift      All|All|All                       All                   All      6.8939268393426385         -1.589791997241985        8.263707785830288          -2.3946550064905128       
