#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6148.2332348296595    All      1.2304959766390984         -0.11538641087174284      0.18545620053900033        -0.4301221133671004      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4300.250151585307     All      -0.9929407489976508        0.6539844104498371        0.00011105698229285594     0.536462662623473        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7485.4146596854525    All      0.5801307097605413         -0.18891507258675944      0.16435901089086494        -0.2431689243828183      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5323.608038471313     All      0.1785984116323176         0.6483719993623183        -0.3521824092064714        0.1373044292080502       
Check         All|All|All                                All                   All      0.9962843490343064         0.9980549263536531        -0.0022561407943132994     0.0004760540816044767    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6148.2332348296595    All      -0.0003286142887293327     3.084918512541608e-05     -0.0005680029966799611     9.174171443309253e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4300.250151585307     All      -0.000554552273918569      0.0002756174514327255     -0.00045762961586094273    0.0002499916833805685    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7485.4146596854525    All      -0.00020168568548888316    5.0536542651400166e-05    -0.000502592906763912      5.972866446697961e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5323.608038471313     All      -0.00011734833434772801    0.00011588737526808964    -0.0016830478096770429     8.65850061909691e-07     
MWEBV         All|All|All                                All                   All      -0.8433246570960873        -4.018594594791658        0.010009302935878435       -1.0338432127665653      
Redshift      All|All|All                                All                   All      8.198426551999551          -1.6959898861710343       7.499496275935376          -2.88826887568972        
