#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6148.2332348296595    All      1.2254505155455757         -0.13431621710653374      -0.034080180744811006      -0.44444160176356634      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4300.250151585307     All      -0.9029675782163161        0.6731628293454861        0.41423906529779453        0.5318831138461239        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7485.4146596854525    All      0.5410462321960299         -0.17204065406941638      0.134981789449945          -0.22625224140417066      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5323.608038471313     All      0.12413617629267398        0.6371246417761434        -0.3563415487687571        0.1511953333231758        
Check         All|All|All                                All                   All      0.9876653458179634         1.0039305999456793        0.1587991252341714         0.01238460400156266       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6148.2332348296595    All      -0.00035030927096026403    2.771542808703363e-05     -0.0007998929446343493     8.743953277928072e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4300.250151585307     All      -0.0005854377385364424     0.00033140960146699205    -0.00033856080911817725    0.0002835389280632717     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7485.4146596854525    All      -0.00023570135510649109    6.558586600162305e-05     -0.0006918373251802795     6.72656376411778e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5323.608038471313     All      -0.00017587364912143762    0.00019222393255685378    -0.0023138996492228533     1.6642778415231423e-05    
MWEBV         All|All|All                                All                   All      -0.8360736715023802        -4.022463079850702        0.07390848803648375        -1.034613663025187        
Redshift      All|All|All                                All                   All      8.259724161833633          -2.164180535393534        9.500282649655285          -2.9714547147310726       
