#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4665.257309644079     All      -0.4485012033602099        0.39981395835644307        -0.018203440061156845      0.27551182098640864        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4332.922495350675     All      -0.43025707148914605       0.286616808824558          -0.04091629239199889       0.23168350106058638        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5419.238167822886     All      0.34816132579689085        0.14456060274499194        0.1044418076933689         -0.06165869556935095       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4331.74282228956      All      -0.3538077394518399        0.22679120868103197        -0.05674125522528307       0.1865880769273642         
Zeropoint     AB|CNIa02|SDSS_g                      4676.152696781838     All      -0.04862213559851014       0.024940050729771457       -0.07207202731627968       0.020745380646889668       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7462.678244118641     All      0.22965448158066556        -0.04216933378566878       0.045164188546396644       -0.08652648909950424       
Zeropoint     AB|CNIa02|SDSS_r                      6110.3336699312795    All      0.5664189871540115         -0.06547899992641604       -0.06717531252330096       -0.20882768889124423       
Zeropoint     AB|CNIa02|SDSS_i                      7409.847552349973     All      0.22135269251513548        -0.043790614642436054      0.022393233019358378       -0.08536659095567409       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5429.951425730694     All      0.31773938735236784        0.11858176295902467        0.04985133883706871        -0.06264755406275725       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6149.833588899626     All      0.5949230342206814         -0.05339530913781587       0.03369622376625063        -0.2096749057662935        
Check         All|All|All                           All                   All      0.9970617587200468         0.9964701348034843         0.0004384643444238154      -0.00017314472357538024    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4665.257309644079     All      -0.0001392434057217161     1.6313016617209458e-05     -0.0004458361979121926     3.077422254884533e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4332.922495350675     All      -0.0002186031900479535     9.866313323913994e-05      -0.00021823860685683127    9.360509255625655e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5419.238167822886     All      4.028878647219849e-05      -1.6778811632516635e-05    -0.00045245719225152104    -3.8779880600382255e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4331.74282228956      All      -0.0001677449120974953     7.61645861190331e-05       -0.00016460803530357398    7.210364735502891e-05      
Lambda        AB|CNIa02|SDSS_g                      4676.152696781838     All      -3.320226584978646e-05     1.716156476955647e-05      -5.0308539579689645e-05    1.4160117490855195e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7462.678244118641     All      -3.1642076907321555e-05    -1.2440648254655426e-05    -0.00012426215843522255    7.092876048992309e-07      
Lambda        AB|CNIa02|SDSS_r                      6110.3336699312795    All      5.232145743579918e-06      -2.8714887356436905e-05    -0.00022018156339872664    -2.088335742203335e-05     
Lambda        AB|CNIa02|SDSS_i                      7409.847552349973     All      -7.80031966800266e-06      -1.6311774736934908e-05    -0.00011772134376652917    -8.025823832230211e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5429.951425730694     All      5.7675987845940586e-05     -7.4576410742573406e-06    -0.0003341382523700138     -3.6127221333840336e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6149.833588899626     All      -6.987094292307066e-05     -7.024309028631586e-06     -0.00011787744963579409    1.5210887066558722e-05     
MWEBV         All|All|All                           All                   All      -0.8785277131633529        -4.055777914931635         0.008259076552435754       -1.0345663544887944        
Redshift      All|All|All                           All                   All      5.028043422778578          0.12992732836325516        2.030472249358253          -1.5048669043170169        
