#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4665.257309644079     All      -0.4674293725238305        0.40535937641186237        -0.04589703805733536       0.28224783541427945        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4332.922495350675     All      -0.44138613541736793       0.29985245031189933        -0.0045432078637774875     0.24124305089639406        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5419.238167822886     All      0.34843890398239197        0.1384980806853342         0.12411725553583275        -0.06284584993115593       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4331.74282228956      All      -0.3397036429013118        0.21947859195314834        -0.03944977718608467       0.18038358807165034        
Zeropoint     AB|CNIa02|SDSS_g                      4676.152696781838     All      -0.05307010660141375       0.027728995599929362       -0.07902571924130464       0.022792370900744097       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7462.678244118641     All      0.24930449736294136        -0.0466875950456469        0.041270176569779826       -0.09457266391483012       
Zeropoint     AB|CNIa02|SDSS_r                      6110.3336699312795    All      0.5436343612525597         -0.0638098860604508        -0.06753139094727856       -0.2008781914895074        
Zeropoint     AB|CNIa02|SDSS_i                      7409.847552349973     All      0.2191589139297217         -0.0414682822494683        0.03273813852782692        -0.08343389941396669       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5429.951425730694     All      0.33051645704644883        0.11775577774963963        0.04550117684399835        -0.06727264432220895       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6149.833588899626     All      0.6085781466791705         -0.06038447892180443       -0.004724093320757072      -0.21811394996283998       
Check         All|All|All                           All                   All      0.9980420228093099         0.9963230304344428         0.0024555208609000623      -0.00045035375144097944    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4665.257309644079     All      -0.00013415979788698507    -2.0096188380514837e-06    -0.0004659308015394663     2.2253309198054298e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4332.922495350675     All      -0.00022133854816043364    9.72497177091312e-05       -0.00021309511403738495    9.426522320731046e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5419.238167822886     All      7.140671998882481e-05      -2.866709694894142e-05     -0.00045006819355234817    -5.268181089721106e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4331.74282228956      All      -0.00013315593708295226    6.312375225140986e-05      -0.00015249587174096508    5.712956185858303e-05      
Lambda        AB|CNIa02|SDSS_g                      4676.152696781838     All      -3.0017241043352803e-05    1.7980494860031358e-05     -5.6336008767721186e-05    1.312042433296624e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7462.678244118641     All      -4.5333864859564256e-05    -1.0317325315013109e-05    -0.00013546282192456645    5.360955355337311e-06      
Lambda        AB|CNIa02|SDSS_r                      6110.3336699312795    All      1.1627834369131013e-05     -3.911062715115328e-05     -0.0002443376042809868     -2.743085123999332e-05     
Lambda        AB|CNIa02|SDSS_i                      7409.847552349973     All      -1.0536009805338933e-05    -1.6273916985696185e-05    -0.00012235699671952926    -7.329255938414581e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5429.951425730694     All      5.314771381572279e-05      -9.435487626822563e-06     -0.00033795665578051874    -3.546686100471545e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6149.833588899626     All      -9.694692038840006e-05     5.9109591379854536e-08     -0.000123360084923691      2.6093061350239168e-05     
MWEBV         All|All|All                           All                   All      -0.8850383471314984        -4.05435506535019          0.005578178163950787       -1.0321017940749937        
Redshift      All|All|All                           All                   All      4.610719843143926          0.3278201675544601         1.684673753736582          -1.3199020753509947        
