#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    4262.95372521824     All      -2.4862640560509957       0.7863002977941846         -0.4233133983995385       1.0470913414542162         
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    5180.334016230815    All      3.4824998957297146        0.2153668103602513         0.4203653394590612        -1.0454537569588183        
Check         All|All|All                         All                  All      0.9962358396787186        1.001667108154436          -0.0029480589404773383    0.0016375844953979701      
Lambda        Linear_AB11_off|Knop|Bessell12_R    4262.95372521824     All      -0.0008016610007353839    5.679276298726637e-05      -0.0015459597003222216    0.00021063755204511596     
Lambda        Linear_AB11_off|Knop|Bessell12_I    5180.334016230815    All      0.0008770272435268704     -0.00016516354961511402    -0.001943282402635166     -0.00042619559684136884    
MWEBV         All|All|All                         All                  All      -0.08418997587844324      -2.293481563763322         0.007153357132394511      -0.7193197322337919        
Redshift      All|All|All                         All                  All      3.3946082961598627        0.6786859360303765         1.698403756506739         -0.8088733047192389        
