#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    4262.95372521824     All      -2.523968788257066        0.8095427905567831        -0.41981481208833604      1.0670999835692987        
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    5180.334016230815    All      3.5208640069743904        0.19227580202780814       0.41832682029146384       -1.065562680966336        
Check         All|All|All                         All                  All      0.9968952187173246        1.0018185925845913        -0.0014879917968722012    0.001537302602962587      
Lambda        Linear_AB11_off|Knop|Bessell12_R    4262.95372521824     All      -0.0011024539130401836    0.00015119972474527188    -0.0016748239153880557    0.0003336165346505837     
Lambda        Linear_AB11_off|Knop|Bessell12_I    5180.334016230815    All      0.0013470879204292205     -0.0001547557701165749    -0.001615828988041574     -0.0005613069257027659    
MWEBV         All|All|All                         All                  All      -0.08369389824295936      -2.294466794490191        0.0057114863032184295     -0.7198665871738407       
Redshift      All|All|All                         All                  All      3.3540160071529384        0.33323931816795493       2.6210670229264026        -0.867000165095787        
