#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6090.232677087939     All      1.165316498062428          -0.04993137488291666       -0.3133485016115767       -0.4098295171550914        
Zeropoint     AB|PS|PS_g                4795.7151485098175    All      -1.1169564800166172        1.2557411466294077         -0.05300943200410302      0.7705001089451019         
Zeropoint     AB|PS|PS_z                8477.502738345727     All      0.3467290935333389         -0.08055642498518978       0.12018137356402114       -0.13381780792842274       
Zeropoint     AB|PS|PS_i                7376.590774455773     All      0.575056479344693          -0.11398198392003067       0.19515502695139908       -0.2157336236392124        
Check         All|All|All               All                   All      0.9701455909238428         1.0112713628412706         -0.051021533100259475     0.011119160222375357       
Lambda        AB|PS|PS_r                6090.232677087939     All      -0.00024233307234510716    -1.9573369555481533e-05    -0.0006136008390882438    4.517797649333428e-05      
Lambda        AB|PS|PS_g                4795.7151485098175    All      -0.00028197818628170404    3.779936395971243e-05      -0.0012712059137337968    4.743398699019098e-05      
Lambda        AB|PS|PS_z                8477.502738345727     All      0.0002579405661898085      -7.366641092289885e-05     -3.731655074306459e-05    -0.00010968056826205447    
Lambda        AB|PS|PS_i                7376.590774455773     All      -0.0001611906471069381     -9.620619204395334e-06     -0.0004925069858523072    2.7393019817842564e-05     
MWEBV         All|All|All               All                   All      -0.7067097175228598        -4.063078775613693         0.015656768446659086      -1.0925811338155185        
Redshift      All|All|All               All                   All      4.113013292722931          1.068785962822183          1.4139955910688284        -0.928504864470462         
