#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                    dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5585.652464686282    All      3.356982538686471          -0.22362147929282372       0.4088962010491026       -1.1480733675685888        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4664.42409412853     All      -2.3598910405203433        1.2260522674528929         -0.40708415994979985     1.149893413048897          
Check         All|All|All                            All                  All      0.9970914981661276         1.0024307881600691         0.0018120410993027747    0.001820045480308119       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5585.652464686282    All      -0.0004892753528810863     -1.833766933805294e-05     -0.000647075034662592    0.000124523910030703       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4664.42409412853     All      -0.00015731858001692586    -0.00030645662145247247    -0.002424400368342738    -0.00015676902016237843    
MWEBV         All|All|All                            All                  All      -0.2446951954355212        -2.5822865452974852        -0.014098517975280611    -0.7620595592262469        
Redshift      All|All|All                            All                  All      1.9983444343758037         2.4393042722815395         4.947148060363626        0.36440362285848626        
