#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6065.793636127608    All      1.1749942473791843         -0.007180088090397163     -0.45097180067850334      -0.4051978736685786        
Zeropoint     AB|PS|PS_i                7346.989802925942    All      0.567738061740023          -0.15867297751261944      0.3410285216773401        -0.22139743706281653       
Zeropoint     AB|PS|PS_z                8443.483999218864    All      0.371720622054559          -0.061164894640430845     0.07754797952195024       -0.13754444413696504       
Zeropoint     AB|PS|PS_g                4776.470780492576    All      -1.1147992535147355        1.226204780423057         0.0338417047724498        0.7640522304532958         
Check         All|All|All               All                  All      0.9996536776590305         0.9991868201796095        0.0014464052932367938     -8.752441506432174e-05     
Lambda        AB|PS|PS_r                6065.793636127608    All      -0.0002181079132234218     3.898988831417987e-05     -0.0009135539247725668    4.297749636604561e-05      
Lambda        AB|PS|PS_i                7346.989802925942    All      -0.00013120090075758413    4.8402973464331214e-05    -0.0010160271168461023    1.3162266844950916e-05     
Lambda        AB|PS|PS_z                8443.483999218864    All      0.000570472278419218       -9.099736736760622e-05    0.00014181416844015352    -0.00020913391032916065    
Lambda        AB|PS|PS_g                4776.470780492576    All      -0.0003493672298162274     -3.169805643129705e-05    -0.0007659672886446655    6.929369864515023e-05      
MWEBV         All|All|All               All                  All      -0.6860521395231443        -4.040383318145668        0.05005290930999266       -1.0903823876374774        
Redshift      All|All|All               All                  All      4.772082396595417          0.7436526469448701        7.996833063562236         -0.9553301693623845        
