#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                6065.793636127608    All      1.2426553350010896         -0.04157270830420501      -0.28986277789246895       -0.4312505680379684        
Zeropoint     AB|PS|PS_i                7346.989802925942    All      0.5917743075274298         -0.14194241025142773      0.3158064254802584         -0.22490268322086712       
Zeropoint     AB|PS|PS_z                8443.483999218864    All      0.3029505914121426         -0.06402091917694364      0.12374563780352954        -0.1140124945309455        
Zeropoint     AB|PS|PS_g                4776.470780492576    All      -1.1411668214870043        1.2481314178171665        -0.15385580283771016       0.7714071642721188         
Check         All|All|All               All                  All      0.9962134124536578         1.0005953800845901        -0.0041665174463911825     0.0012414184823377195      
Lambda        AB|PS|PS_r                6065.793636127608    All      -0.00015247856461596333    4.454322622065616e-05     -0.00031247145190958526    5.0232313330620946e-05     
Lambda        AB|PS|PS_i                7346.989802925942    All      -4.413345136184833e-05     4.649390298048785e-06     -0.0005699121664409475     -9.542386039906418e-06     
Lambda        AB|PS|PS_z                8443.483999218864    All      0.00044789336901052037     -8.963004491347575e-05    0.00012966595803150604     -0.00016930266373735498    
Lambda        AB|PS|PS_g                4776.470780492576    All      -0.0002719526400549352     -6.845889551025792e-05    -0.0010606205473352817     1.895398356994909e-05      
MWEBV         All|All|All               All                  All      -0.7062841588647588        -4.040502147361291        0.04984226247113366        -1.0838402601100936        
Redshift      All|All|All               All                  All      4.578603664044531          0.7884393144586888        7.60620310765312           -0.89515131069621          
