#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4150.38158897456      All      -0.34454265983153076       0.20030279123224304       0.11934955110851724        0.18280011060770054       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5201.193986405451     All      0.4979394226972862         0.2649374960669526        0.6910349142754587         -0.04505867862364682      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7148.284425134698     All      0.19620708474764578        0.0012768116792294393     0.2781570846569741         -0.05108232979492212      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5890.7483644155545    All      1.8316347549213392         -0.13915827883872467      -0.48856377661641304       -0.6637544857187337       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4468.715530119056     All      -1.1830387828774167        0.671542242984291         -0.5963373359894444        0.5774862575997244        
Check         All|All|All                      All                   All      0.9981998196573237         0.9989010631239914        0.0036404374350924584      0.00039087407012228237    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4150.38158897456      All      -0.00019520051996089498    7.414422173548616e-05     -0.0001428692206263077     8.135884640735407e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5201.193986405451     All      0.0002110519198708159      3.292690842264795e-05     -0.00040208011739113276    -7.596416531946357e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7148.284425134698     All      -1.9932922194079806e-05    -1.247625248012491e-07    -2.8514397701959244e-05    5.179702665833921e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5890.7483644155545    All      -0.00035434064810129813    -7.398577967502547e-05    -0.0009354403365496766     4.957639814950065e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4468.715530119056     All      -0.00040473352794918036    -1.579009377339416e-05    -0.001480848367772694      6.060821100681666e-05     
MWEBV         All|All|All                      All                   All      -0.8164412019962426        -3.8350784139870697       0.06113075651812138        -0.9805414652598843       
Redshift      All|All|All                      All                   All      3.679196103765384          1.051606379308545         7.533750188099248          -0.5196957487580592       
