#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4150.38158897456      All      -0.4370782225160036        0.23364938883103648        0.10494266051190859        0.22316115825315036        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5201.193986405451     All      0.6988248983790357         0.3085434227683592         1.1897336770456457         -0.0740351667281508        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7148.284425134698     All      0.12404995118415763        0.007952494376972652       0.2491742855289969         -0.026697257227919352      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5890.7483644155545    All      1.7302032144324195         -0.13499065025985857       -0.6861260484790854        -0.6381736590664211        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4468.715530119056     All      -1.1180070041743384        0.5824894503120959         -0.8599500907475965        0.5155320169557047         
Check         All|All|All                      All                   All      0.9979928373052707         0.9976441060286056         -0.002225516140130779      -0.00021290781363614286    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4150.38158897456      All      -0.00023395621658462218    7.994163442718533e-05      -0.0002035540307050246     9.316317550658605e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5201.193986405451     All      8.444511602651443e-05      5.8647747547318084e-05     -0.0005229893194226677     -3.174166294465858e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7148.284425134698     All      -2.3977136509092676e-05    -1.8440580259430638e-06    -5.0909811112330306e-05    4.937600768977316e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5890.7483644155545    All      -0.0004193965711987528     -0.00013888872442821773    -0.001614891809654132      1.9305429592156013e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4468.715530119056     All      -0.0002872348325689886     -2.7802140284578105e-05    -0.0011921090938369447     3.1307409260178844e-05     
MWEBV         All|All|All                      All                   All      -0.826998607351892         -3.8315863807206973        0.06895756386329221        -0.9756158264233011        
Redshift      All|All|All                      All                   All      5.880789356678628          1.2628700423439554         13.810503282057129         -0.8879089135807317        
