#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7429.59297702662     All      1.4458142055993342         -0.6531394963269044        -0.7667598094122319        -0.7179152429367147       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5283.907798466701    All      -0.7814720278043901        1.1696851100991168         0.7616026845148838         0.6695429008736306        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4268.181494038756    All      -0.48846330047474834       0.43602490338301436        -0.2185002103095801        0.29138556190402287       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6102.383440242386    All      0.8312470640241287         0.0821618905563426         0.2563841106492326         -0.23256043984001343      
Check         All|All|All                                All                  All      1.0071259413443245         1.0347324077115694         0.0327267754423044         0.010452780000925282      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7429.59297702662     All      -1.5495730105167323e-05    -0.00023377821650230902    -0.00038955307532559803    -8.848575169926667e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5283.907798466701    All      -0.0008892616721164        0.0010576266227519807      0.0006016005379335969      0.000661012237317682      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4268.181494038756    All      -0.0007440113531323491     0.0006375665251568564      -0.0004324614527602288     0.00043072659910783526    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6102.383440242386    All      3.929664805120737e-05      -0.00019098610413886577    0.0004958604534355231      -5.288269383368289e-05    
MWEBV         All|All|All                                All                  All      -0.6843825530214649        -4.047000272162116         -0.028409136439666582      -1.096582987241982        
Redshift      All|All|All                                All                  All      13.115356560963024         -5.727130943780523         -4.076684121661511         -6.319541768537842        
