#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7429.59297702662     All      1.0588289093044174         -0.6069625584476768        1.5939827790551686         -0.47147095342721046      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5283.907798466701    All      -0.48505937335481697       0.9741309697661293         -1.2817636602664053        0.41810707546073256       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4268.181494038756    All      -0.6192984291385845        0.4264021789582628         0.8903649046589093         0.38035198698212314       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6102.383440242386    All      1.0564997123125748         0.19838608334818986        -1.130124577382026         -0.3299481094676621       
Check         All|All|All                                All                  All      1.0109708191235907         0.9919566736249052         0.07245944606564647        -0.0029600004520168866    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7429.59297702662     All      -2.0926812053225982e-05    -0.00014265058847003645    -0.00019070607266356897    -4.815977471391512e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5283.907798466701    All      -0.0007584490755963257     0.0010735795278999849      -0.0029038040660389875     0.00046716854933191184    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4268.181494038756    All      -0.000669776077136467      0.0004734791099376957      0.000731873337193656       0.00040505597207481873    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6102.383440242386    All      -6.665191337931628e-06     -0.0001378231073784027     7.445489644216127e-05      -3.939986815240878e-05    
MWEBV         All|All|All                                All                  All      -0.7342952538218097        -4.068067812551668         0.2808760758854381         -1.073385190988128        
Redshift      All|All|All                                All                  All      12.314479027568614         -5.434779600101791         17.114957206474383         -5.017755534326845        
